red,green,blue,cat,alpha
119,104,81,1,-0.1
121,106,83,1,-0.1
125,110,87,1,-0.1
129,114,91,1,-0.1
129,117,93,1,-0.1
129,117,93,1,-0.1
126,116,89,1,-0.1
125,115,88,1,-0.1
124,115,86,1,-0.1
126,117,88,1,-0.1
126,119,90,1,-0.1
129,122,93,1,-0.1
130,124,92,1,-0.1
131,125,93,1,-0.1
131,125,93,1,-0.1
131,125,91,1,-0.1
134,126,90,1,-0.1
135,125,89,1,-0.1
136,123,89,1,-0.1
138,122,89,1,-0.1
138,119,87,1,-0.1
139,116,85,1,-0.1
139,113,86,1,-0.1
139,112,85,1,-0.1
141,111,85,1,-0.1
138,108,82,1,-0.1
135,107,83,1,-0.1
137,111,86,1,-0.1
143,119,93,1,-0.1
146,126,99,1,-0.1
149,129,104,1,-0.1
147,131,105,1,-0.1
136,127,96,1,-0.1
133,127,95,1,-0.1
134,123,93,1,-0.1
133,119,90,1,-0.1
132,115,85,1,-0.1
134,113,84,1,-0.1
140,113,84,1,-0.1
146,115,86,1,-0.1
155,115,89,1,-0.1
161,115,89,1,-0.1
167,116,89,1,-0.1
173,115,91,1,-0.1
177,113,88,1,-0.1
176,108,85,1,-0.1
174,103,81,1,-0.1
172,100,78,1,-0.1
173,97,81,1,-0.1
173,96,80,1,-0.1
175,94,77,1,-0.1
176,90,75,1,-0.1
178,89,73,1,-0.1
181,89,74,1,-0.1
181,92,74,1,-0.1
180,95,75,1,-0.1
171,94,74,1,-0.1
164,98,74,1,-0.1
156,105,78,1,-0.1
155,118,89,1,-0.1
156,131,100,1,-0.1
154,141,107,1,-0.1
146,143,108,1,-0.1
140,140,104,1,-0.1
141,137,102,1,-0.1
144,138,104,1,-0.1
145,139,105,1,-0.1
145,139,105,1,-0.1
141,135,101,1,-0.1
135,129,95,1,-0.1
130,121,88,1,-0.1
125,116,83,1,-0.1
123,114,81,1,-0.1
125,116,83,1,-0.1
129,118,86,1,-0.1
136,125,93,1,-0.1
144,131,99,1,-0.1
149,136,104,1,-0.1
151,138,106,1,-0.1
151,138,106,1,-0.1
145,132,100,1,-0.1
144,133,101,1,-0.1
144,133,101,1,-0.1
141,135,101,1,-0.1
142,136,102,1,-0.1
142,138,103,1,-0.1
142,138,101,1,-0.1
143,137,101,1,-0.1
142,134,98,1,-0.1
143,130,96,1,-0.1
144,125,92,1,-0.1
146,123,91,1,-0.1
151,120,91,1,-0.1
152,117,89,1,-0.1
153,114,85,1,-0.1
155,109,83,1,-0.1
155,101,77,1,-0.1
156,100,77,1,-0.1
149,94,73,1,-0.1
146,96,73,1,-0.1
152,106,82,1,-0.1
150,108,83,1,-0.1
150,114,88,1,-0.1
161,130,102,1,-0.1
160,135,105,1,-0.1
156,137,105,1,-0.1
152,137,106,1,-0.1
147,138,105,1,-0.1
144,140,105,1,-0.1
141,141,105,1,-0.1
142,142,106,1,-0.1
142,142,106,1,-0.1
138,134,97,1,-0.1
141,135,99,1,-0.1
143,137,101,1,-0.1
145,139,103,1,-0.1
144,138,102,1,-0.1
139,133,97,1,-0.1
131,125,89,1,-0.1
125,119,83,1,-0.1
119,113,77,1,-0.1
120,114,78,1,-0.1
123,117,81,1,-0.1
128,122,86,1,-0.1
134,128,92,1,-0.1
140,134,98,1,-0.1
146,140,104,1,-0.1
148,144,106,1,-0.1
140,141,101,1,-0.1
140,143,100,1,-0.1
140,143,100,1,-0.1
138,141,98,1,-0.1
135,136,94,1,-0.1
133,134,92,1,-0.1
133,134,92,1,-0.1
133,134,92,1,-0.1
137,135,94,1,-0.1
140,138,97,1,-0.1
143,141,100,1,-0.1
143,141,100,1,-0.1
141,139,98,1,-0.1
139,137,96,1,-0.1
137,135,94,1,-0.1
135,136,94,1,-0.1
143,144,100,1,-0.1
142,145,100,1,-0.1
142,145,100,1,-0.1
142,145,100,1,-0.1
141,144,99,1,-0.1
141,144,99,1,-0.1
142,143,99,1,-0.1
142,143,99,1,-0.1
143,142,98,1,-0.1
137,136,92,1,-0.1
131,130,86,1,-0.1
132,131,87,1,-0.1
139,136,93,1,-0.1
144,141,98,1,-0.1
