red,green,blue,cat,alpha
118,108,73,1,-0.05
121,111,75,1,-0.05
124,116,79,1,-0.05
129,121,82,1,-0.05
131,126,84,1,-0.05
133,130,87,1,-0.05
135,132,87,1,-0.05
134,133,87,1,-0.05
125,127,80,1,-0.05
127,130,83,1,-0.05
130,133,88,1,-0.05
132,138,92,1,-0.05
132,139,95,1,-0.05
131,138,94,1,-0.05
129,137,96,1,-0.05
128,135,93,1,-0.05
133,135,88,1,-0.05
134,133,85,1,-0.05
134,132,84,1,-0.05
134,132,84,1,-0.05
134,130,83,1,-0.05
133,129,82,1,-0.05
135,127,81,1,-0.05
135,127,81,1,-0.05
132,124,78,1,-0.05
134,126,80,1,-0.05
134,126,80,1,-0.05
134,126,80,1,-0.05
141,133,87,1,-0.05
151,143,97,1,-0.05
153,146,100,1,-0.05
147,143,96,1,-0.05
143,145,98,1,-0.05
136,139,92,1,-0.05
128,130,81,1,-0.05
123,122,74,1,-0.05
123,121,73,1,-0.05
127,120,74,1,-0.05
134,121,76,1,-0.05
139,120,77,1,-0.05
149,121,81,1,-0.05
157,122,84,1,-0.05
167,123,86,1,-0.05
176,123,89,1,-0.05
181,120,89,1,-0.05
184,117,88,1,-0.05
186,112,83,1,-0.05
185,110,81,1,-0.05
177,99,76,1,-0.05
179,99,74,1,-0.05
179,97,73,1,-0.05
181,97,69,1,-0.05
183,96,68,1,-0.05
181,97,63,1,-0.05
181,97,63,1,-0.05
177,99,61,1,-0.05
164,96,57,1,-0.05
161,106,65,1,-0.05
162,120,78,1,-0.05
158,134,90,1,-0.05
154,142,100,1,-0.05
147,150,107,1,-0.05
143,154,111,1,-0.05
144,155,112,1,-0.05
147,148,106,1,-0.05
150,145,103,1,-0.05
150,145,103,1,-0.05
151,146,104,1,-0.05
149,146,103,1,-0.05
143,140,97,1,-0.05
134,131,88,1,-0.05
127,124,81,1,-0.05
125,124,80,1,-0.05
128,127,83,1,-0.05
133,132,88,1,-0.05
138,137,93,1,-0.05
142,143,99,1,-0.05
146,147,103,1,-0.05
149,150,106,1,-0.05
150,151,107,1,-0.05
140,141,97,1,-0.05
141,142,98,1,-0.05
141,144,99,1,-0.05
143,146,101,1,-0.05
142,148,100,1,-0.05
143,149,101,1,-0.05
145,148,101,1,-0.05
145,148,101,1,-0.05
147,146,98,1,-0.05
146,144,96,1,-0.05
147,141,93,1,-0.05
150,139,93,1,-0.05
152,138,93,1,-0.05
154,137,93,1,-0.05
154,133,90,1,-0.05
157,128,86,1,-0.05
166,122,83,1,-0.05
164,115,75,1,-0.05
158,110,70,1,-0.05
152,109,67,1,-0.05
147,108,67,1,-0.05
147,112,70,1,-0.05
155,126,82,1,-0.05
164,140,94,1,-0.05
160,142,96,1,-0.05
158,144,97,1,-0.05
155,147,100,1,-0.05
151,147,99,1,-0.05
149,149,99,1,-0.05
146,150,99,1,-0.05
149,153,102,1,-0.05
149,156,104,1,-0.05
148,150,101,1,-0.05
149,151,102,1,-0.05
150,152,103,1,-0.05
151,153,104,1,-0.05
149,151,102,1,-0.05
142,144,95,1,-0.05
132,134,85,1,-0.05
126,128,79,1,-0.05
120,122,73,1,-0.05
117,119,70,1,-0.05
117,119,70,1,-0.05
122,124,75,1,-0.05
132,134,85,1,-0.05
142,144,95,1,-0.05
148,150,101,1,-0.05
151,153,104,1,-0.05
148,151,106,1,-0.05
151,154,109,1,-0.05
151,154,109,1,-0.05
147,150,105,1,-0.05
139,142,97,1,-0.05
135,138,93,1,-0.05
135,138,93,1,-0.05
138,141,96,1,-0.05
138,141,96,1,-0.05
142,145,100,1,-0.05
146,149,104,1,-0.05
147,150,105,1,-0.05
143,146,101,1,-0.05
139,142,97,1,-0.05
138,141,96,1,-0.05
139,141,94,1,-0.05
156,155,107,1,-0.05
157,155,106,1,-0.05
157,155,106,1,-0.05
156,154,105,1,-0.05
155,153,104,1,-0.05
155,153,104,1,-0.05
154,152,103,1,-0.05
154,152,103,1,-0.05
156,154,105,1,-0.05
149,147,98,1,-0.05
141,139,90,1,-0.05
140,138,89,1,-0.05
145,143,94,1,-0.05
150,148,99,1,-0.05
152,150,101,1,-0.05
152,150,102,1,-0.05
145,138,96,1,-0.05
141,138,97,1,-0.05
128,135,91,1,-0.05
119,126,82,1,-0.05
122,119,76,1,-0.05
135,113,76,1,-0.05
152,101,74,1,-0.05
164,89,70,1,-0.05
174,82,67,1,-0.05
174,76,63,1,-0.05
169,76,59,1,-0.05
168,77,59,1,-0.05
163,74,56,1,-0.05
163,70,53,1,-0.05
173,69,56,1,-0.05
185,73,61,1,-0.05
185,63,50,1,-0.05
176,63,45,1,-0.05
161,75,50,1,-0.05
157,98,64,1,-0.05
152,124,84,1,-0.05
145,139,91,1,-0.05
128,136,87,1,-0.05
116,128,78,1,-0.05
120,128,79,1,-0.05
123,125,78,1,-0.05
128,124,77,1,-0.05
132,125,79,1,-0.05
136,130,82,1,-0.05
136,134,85,1,-0.05
132,137,83,1,-0.05
128,137,80,1,-0.05
124,133,76,1,-0.05
130,141,81,1,-0.05
139,150,90,1,-0.05
143,154,94,1,-0.05
142,151,94,1,-0.05
140,149,92,1,-0.05
142,150,93,1,-0.05
144,152,95,1,-0.05
144,151,97,1,-0.05
143,150,96,1,-0.05
143,147,96,1,-0.05
141,145,94,1,-0.05
138,142,91,1,-0.05
136,140,89,1,-0.05
135,137,87,1,-0.05
135,137,88,1,-0.05
132,129,84,1,-0.05
133,130,87,1,-0.05
134,131,86,1,-0.05
132,129,84,1,-0.05
127,126,80,1,-0.05
121,120,74,1,-0.05
115,114,66,1,-0.05
111,110,62,1,-0.05
114,116,66,1,-0.05
113,115,65,1,-0.05
112,117,63,1,-0.05
114,119,65,1,-0.05
118,123,67,1,-0.05
121,126,70,1,-0.05
122,127,71,1,-0.05
122,127,71,1,-0.05
120,122,72,1,-0.05
122,122,72,1,-0.05
123,121,70,1,-0.05
125,119,69,1,-0.05
128,118,67,1,-0.05
130,116,67,1,-0.05
131,115,64,1,-0.05
132,114,64,1,-0.05
131,113,65,1,-0.05
131,115,66,1,-0.05
128,114,67,1,-0.05
123,113,64,1,-0.05
115,108,62,1,-0.05
109,107,59,1,-0.05
109,108,64,1,-0.05
111,110,62,1,-0.05
115,114,60,1,-0.05
115,113,56,1,-0.05
114,111,58,1,-0.05
113,110,57,1,-0.05
113,109,61,1,-0.05
113,109,61,1,-0.05
