red,green,blue,cat,alpha
112,93,87,1,-0.25
112,93,87,1,-0.25
112,93,86,1,-0.25
113,94,87,1,-0.25
114,94,87,1,-0.25
115,95,88,1,-0.25
115,95,86,1,-0.25
115,95,86,1,-0.25
121,98,90,1,-0.25
121,98,90,1,-0.25
121,97,87,1,-0.25
120,96,86,1,-0.25
120,96,86,1,-0.25
121,97,87,1,-0.25
122,98,88,1,-0.25
124,97,88,1,-0.25
129,96,89,1,-0.25
130,95,89,1,-0.25
132,95,89,1,-0.25
132,95,89,1,-0.25
132,93,88,1,-0.25
130,91,86,1,-0.25
130,89,85,1,-0.25
128,89,84,1,-0.25
127,88,83,1,-0.25
124,89,83,1,-0.25
124,91,84,1,-0.25
123,94,86,1,-0.25
123,99,89,1,-0.25
122,102,91,1,-0.25
125,105,94,1,-0.25
125,107,95,1,-0.25
124,102,89,1,-0.25
124,102,89,1,-0.25
123,101,88,1,-0.25
122,100,87,1,-0.25
121,99,86,1,-0.25
121,99,86,1,-0.25
124,97,86,1,-0.25
126,98,87,1,-0.25
130,97,88,1,-0.25
134,97,89,1,-0.25
141,96,91,1,-0.25
145,96,92,1,-0.25
150,95,92,1,-0.25
152,92,91,1,-0.25
152,91,90,1,-0.25
151,90,87,1,-0.25
148,88,78,1,-0.25
149,89,78,1,-0.25
153,90,81,1,-0.25
158,91,83,1,-0.25
160,91,86,1,-0.25
162,91,87,1,-0.25
163,91,92,1,-0.25
162,92,92,1,-0.25
160,92,93,1,-0.25
152,91,90,1,-0.25
144,90,90,1,-0.25
137,92,89,1,-0.25
135,97,94,1,-0.25
133,104,98,1,-0.25
132,107,102,1,-0.25
130,110,101,1,-0.25
125,105,96,1,-0.25
126,106,95,1,-0.25
128,108,97,1,-0.25
127,107,96,1,-0.25
126,104,93,1,-0.25
121,99,88,1,-0.25
117,93,83,1,-0.25
113,89,79,1,-0.25
113,89,79,1,-0.25
110,86,76,1,-0.25
111,84,75,1,-0.25
117,90,81,1,-0.25
126,99,90,1,-0.25
133,106,97,1,-0.25
135,108,99,1,-0.25
134,107,98,1,-0.25
131,107,95,1,-0.25
131,107,95,1,-0.25
130,108,95,1,-0.25
129,107,94,1,-0.25
127,108,94,1,-0.25
127,108,94,1,-0.25
127,108,94,1,-0.25
127,108,94,1,-0.25
125,103,90,1,-0.25
126,102,90,1,-0.25
128,100,89,1,-0.25
130,97,88,1,-0.25
129,95,86,1,-0.25
128,91,83,1,-0.25
128,87,81,1,-0.25
127,86,80,1,-0.25
127,82,77,1,-0.25
126,83,77,1,-0.25
126,83,77,1,-0.25
125,86,79,1,-0.25
127,90,82,1,-0.25
130,97,88,1,-0.25
133,103,93,1,-0.25
135,108,97,1,-0.25
135,113,100,1,-0.25
132,114,100,1,-0.25
128,115,99,1,-0.25
124,115,98,1,-0.25
