red,green,blue,cat,alpha
86,114,138,100,0
90,118,142,100,0
95,123,145,100,0
96,124,146,100,0
93,121,143,100,0
88,116,138,100,0
84,112,133,100,0
83,111,132,100,0
81,109,130,100,0
83,111,132,100,0
85,114,132,100,0
84,113,131,100,0
84,113,131,100,0
87,116,134,100,0
93,122,140,100,0
98,127,145,100,0
104,132,153,100,0
104,132,153,100,0
105,133,154,100,0
104,132,153,100,0
102,130,151,100,0
98,126,147,100,0
95,123,144,100,0
93,121,142,100,0
92,120,141,100,0
97,125,146,100,0
103,131,152,100,0
103,131,152,100,0
100,128,149,100,0
98,126,147,100,0
100,128,149,100,0
103,131,152,100,0
90,118,139,100,0
91,119,140,100,0
91,119,140,100,0
91,119,140,100,0
91,119,140,100,0
93,121,142,100,0
96,124,145,100,0
99,127,148,100,0
103,131,152,100,0
102,130,151,100,0
102,130,151,100,0
105,133,154,100,0
108,136,157,100,0
109,137,158,100,0
106,134,155,100,0
104,131,148,100,0
124,147,161,100,0
110,132,143,100,0
92,114,127,100,0
83,105,118,100,0
86,109,123,100,0
97,120,134,100,0
103,129,146,100,0
107,133,150,100,0
110,137,156,100,0
106,133,152,100,0
100,128,150,100,0
97,125,147,100,0
93,123,147,100,0
91,121,145,100,0
89,119,145,100,0
87,117,141,100,0
98,124,149,100,0
96,122,145,100,0
93,119,142,100,0
88,114,137,100,0
81,107,130,100,0
73,99,122,100,0
65,91,114,100,0
61,87,110,100,0
54,80,103,100,0
53,79,102,100,0
54,80,103,100,0
61,87,110,100,0
72,98,121,100,0
81,107,130,100,0
85,111,134,100,0
86,113,134,100,0
94,121,142,100,0
90,117,136,100,0
86,113,132,100,0
87,114,133,100,0
91,118,137,100,0
94,121,140,100,0
94,121,140,100,0
91,118,137,100,0
85,112,131,100,0
85,112,131,100,0
87,114,133,100,0
93,120,139,100,0
99,126,145,100,0
98,125,144,100,0
91,118,137,100,0
84,111,130,100,0
90,117,136,100,0
94,121,140,100,0
96,123,142,100,0
94,121,140,100,0
90,117,136,100,0
91,118,137,100,0
99,126,145,100,0
106,133,152,100,0
99,126,145,100,0
100,127,146,100,0
102,129,148,100,0
103,130,149,100,0
102,129,148,100,0
98,125,144,100,0
94,121,140,100,0
92,119,138,100,0
95,124,142,100,0
96,125,143,100,0
91,120,138,100,0
84,113,131,100,0
82,111,129,100,0
86,115,133,100,0
85,114,132,100,0
79,108,126,100,0
82,111,129,100,0
82,111,129,100,0
82,111,129,100,0
84,113,131,100,0
89,118,136,100,0
94,123,141,100,0
100,129,147,100,0
103,132,150,100,0
97,125,146,100,0
100,128,149,100,0
101,129,150,100,0
103,131,152,100,0
109,137,158,100,0
115,143,164,100,0
115,143,164,100,0
110,138,159,100,0
105,133,154,100,0
103,131,152,100,0
100,128,149,100,0
98,126,147,100,0
96,124,145,100,0
96,124,145,100,0
97,125,146,100,0
98,126,147,100,0
92,120,141,100,0
87,115,136,100,0
83,111,132,100,0
84,112,133,100,0
88,116,137,100,0
94,122,143,100,0
98,126,147,100,0
99,127,148,100,0
94,122,143,100,0
94,122,143,100,0
93,121,142,100,0
91,119,140,100,0
89,117,138,100,0
90,118,139,100,0
93,121,142,100,0
95,123,144,100,0
93,121,142,100,0
93,121,142,100,0
93,121,142,100,0
90,118,139,100,0
86,114,135,100,0
82,110,131,100,0
78,106,127,100,0
77,105,126,100,0
79,107,128,100,0
86,114,135,100,0
93,121,142,100,0
94,122,143,100,0
91,119,140,100,0
90,118,139,100,0
95,123,144,100,0
100,128,149,100,0
97,123,146,100,0
93,119,142,100,0
93,119,142,100,0
98,124,147,100,0
100,126,149,100,0
98,124,147,100,0
96,122,145,100,0
98,124,147,100,0
89,115,138,100,0
90,116,139,100,0
93,119,142,100,0
97,123,146,100,0
99,125,148,100,0
93,119,142,100,0
81,107,130,100,0
69,97,119,100,0
71,99,121,100,0
