red,green,blue,cat,alpha
126,118,71,1,-0.0025
127,119,72,1,-0.0025
128,122,72,1,-0.0025
132,126,74,1,-0.0025
134,131,78,1,-0.0025
137,136,80,1,-0.0025
141,140,83,1,-0.0025
142,143,85,1,-0.0025
129,133,74,1,-0.0025
130,136,76,1,-0.0025
134,139,81,1,-0.0025
136,144,85,1,-0.0025
136,145,90,1,-0.0025
135,144,89,1,-0.0025
133,143,90,1,-0.0025
131,142,84,1,-0.0025
130,145,80,1,-0.0025
129,144,75,1,-0.0025
131,144,75,1,-0.0025
130,143,74,1,-0.0025
130,141,73,1,-0.0025
129,140,72,1,-0.0025
129,138,71,1,-0.0025
129,138,71,1,-0.0025
127,134,67,1,-0.0025
132,139,72,1,-0.0025
134,139,73,1,-0.0025
133,138,72,1,-0.0025
139,144,78,1,-0.0025
148,153,87,1,-0.0025
153,155,90,1,-0.0025
150,151,91,1,-0.0025
143,143,89,1,-0.0025
141,141,89,1,-0.0025
132,135,82,1,-0.0025
123,126,69,1,-0.0025
122,123,66,1,-0.0025
127,127,67,1,-0.0025
133,128,70,1,-0.0025
137,127,68,1,-0.0025
146,130,71,1,-0.0025
161,134,79,1,-0.0025
171,134,82,1,-0.0025
177,129,81,1,-0.0025
190,128,87,1,-0.0025
202,133,94,1,-0.0025
201,125,89,1,-0.0025
191,111,78,1,-0.0025
178,97,70,1,-0.0025
181,100,73,1,-0.0025
186,102,76,1,-0.0025
186,103,73,1,-0.0025
184,101,67,1,-0.0025
180,101,62,1,-0.0025
177,102,60,1,-0.0025
175,107,60,1,-0.0025
166,108,58,1,-0.0025
161,114,62,1,-0.0025
157,124,70,1,-0.0025
162,141,86,1,-0.0025
165,158,103,1,-0.0025
163,166,109,1,-0.0025
154,165,109,1,-0.0025
148,159,101,1,-0.0025
156,159,102,1,-0.0025
155,154,97,1,-0.0025
152,151,94,1,-0.0025
154,153,96,1,-0.0025
156,157,99,1,-0.0025
152,153,95,1,-0.0025
142,143,85,1,-0.0025
133,134,76,1,-0.0025
131,135,76,1,-0.0025
133,137,78,1,-0.0025
137,141,82,1,-0.0025
142,146,87,1,-0.0025
145,151,91,1,-0.0025
148,154,94,1,-0.0025
150,156,96,1,-0.0025
152,156,97,1,-0.0025
146,147,89,1,-0.0025
147,148,90,1,-0.0025
148,149,91,1,-0.0025
147,153,93,1,-0.0025
148,154,92,1,-0.0025
146,155,92,1,-0.0025
146,156,93,1,-0.0025
146,156,93,1,-0.0025
141,150,85,1,-0.0025
139,148,83,1,-0.0025
143,148,84,1,-0.0025
149,151,88,1,-0.0025
155,155,91,1,-0.0025
159,158,94,1,-0.0025
161,155,93,1,-0.0025
165,150,91,1,-0.0025
163,130,76,1,-0.0025
166,126,74,1,-0.0025
164,127,72,1,-0.0025
162,131,74,1,-0.0025
159,133,72,1,-0.0025
153,135,71,1,-0.0025
154,141,73,1,-0.0025
156,149,79,1,-0.0025
159,156,87,1,-0.0025
157,158,90,1,-0.0025
156,159,92,1,-0.0025
154,159,95,1,-0.0025
152,158,96,1,-0.0025
153,158,100,1,-0.0025
157,162,106,1,-0.0025
159,164,110,1,-0.0025
153,158,102,1,-0.0025
155,160,104,1,-0.0025
157,162,106,1,-0.0025
159,164,108,1,-0.0025
156,161,105,1,-0.0025
148,153,97,1,-0.0025
137,142,86,1,-0.0025
129,134,78,1,-0.0025
119,124,68,1,-0.0025
118,123,67,1,-0.0025
119,124,68,1,-0.0025
126,131,75,1,-0.0025
137,142,86,1,-0.0025
148,153,97,1,-0.0025
155,160,104,1,-0.0025
158,163,107,1,-0.0025
150,158,101,1,-0.0025
151,159,102,1,-0.0025
150,158,101,1,-0.0025
144,152,95,1,-0.0025
137,145,88,1,-0.0025
134,142,85,1,-0.0025
136,144,87,1,-0.0025
141,149,92,1,-0.0025
142,150,93,1,-0.0025
146,154,97,1,-0.0025
150,158,101,1,-0.0025
150,158,101,1,-0.0025
147,155,98,1,-0.0025
145,153,96,1,-0.0025
146,154,97,1,-0.0025
149,154,100,1,-0.0025
162,164,114,1,-0.0025
164,164,114,1,-0.0025
161,161,109,1,-0.0025
158,159,102,1,-0.0025
157,158,98,1,-0.0025
158,160,95,1,-0.0025
163,165,100,1,-0.0025
167,170,103,1,-0.0025
159,162,95,1,-0.0025
152,155,88,1,-0.0025
145,147,84,1,-0.0025
142,143,83,1,-0.0025
145,146,89,1,-0.0025
149,149,97,1,-0.0025
153,153,103,1,-0.0025
154,154,104,1,-0.0025
153,150,95,1,-0.0025
147,148,90,1,-0.0025
132,143,85,1,-0.0025
123,132,75,1,-0.0025
119,117,68,1,-0.0025
127,104,62,1,-0.0025
151,96,66,1,-0.0025
172,94,72,1,-0.0025
180,80,64,1,-0.0025
181,75,59,1,-0.0025
174,71,54,1,-0.0025
167,67,44,1,-0.0025
167,65,42,1,-0.0025
175,69,43,1,-0.0025
189,70,48,1,-0.0025
189,73,48,1,-0.0025
174,66,38,1,-0.0025
165,68,36,1,-0.0025
168,78,44,1,-0.0025
176,104,64,1,-0.0025
174,130,81,1,-0.0025
159,144,85,1,-0.0025
131,148,78,1,-0.0025
116,146,72,1,-0.0025
118,141,69,1,-0.0025
126,135,68,1,-0.0025
142,127,68,1,-0.0025
154,129,73,1,-0.0025
159,137,80,1,-0.0025
154,146,84,1,-0.0025
134,151,80,1,-0.0025
126,150,76,1,-0.0025
141,151,80,1,-0.0025
150,153,84,1,-0.0025
156,157,89,1,-0.0025
157,158,90,1,-0.0025
159,155,91,1,-0.0025
157,153,89,1,-0.0025
159,154,90,1,-0.0025
160,155,91,1,-0.0025
159,155,92,1,-0.0025
158,157,93,1,-0.0025
158,156,95,1,-0.0025
154,156,93,1,-0.0025
149,154,90,1,-0.0025
142,151,86,1,-0.0025
138,147,82,1,-0.0025
136,145,78,1,-0.0025
131,136,70,1,-0.0025
133,136,69,1,-0.0025
131,133,70,1,-0.0025
128,129,69,1,-0.0025
122,125,68,1,-0.0025
116,119,64,1,-0.0025
111,113,63,1,-0.0025
107,109,59,1,-0.0025
113,118,64,1,-0.0025
103,108,52,1,-0.0025
97,105,45,1,-0.0025
107,116,51,1,-0.0025
119,129,58,1,-0.0025
125,136,60,1,-0.0025
130,141,63,1,-0.0025
135,146,67,1,-0.0025
126,132,58,1,-0.0025
129,135,61,1,-0.0025
133,135,62,1,-0.0025
134,134,62,1,-0.0025
133,131,57,1,-0.0025
132,128,55,1,-0.0025
134,126,54,1,-0.0025
134,126,54,1,-0.0025
135,125,56,1,-0.0025
135,125,56,1,-0.0025
132,123,58,1,-0.0025
128,120,55,1,-0.0025
124,116,54,1,-0.0025
119,115,52,1,-0.0025
119,114,56,1,-0.0025
117,117,53,1,-0.0025
119,123,49,1,-0.0025
115,122,45,1,-0.0025
113,119,45,1,-0.0025
111,117,47,1,-0.0025
111,116,50,1,-0.0025
112,116,55,1,-0.0025
114,117,60,1,-0.0025
116,119,64,1,-0.0025
109,111,61,1,-0.0025
105,107,57,1,-0.0025
104,106,56,1,-0.0025
106,108,58,1,-0.0025
106,109,56,1,-0.0025
105,108,55,1,-0.0025
108,111,56,1,-0.0025
113,116,61,1,-0.0025
134,126,79,1,-0.0025
135,127,80,1,-0.0025
135,129,79,1,-0.0025
137,131,79,1,-0.0025
138,135,82,1,-0.0025
140,139,83,1,-0.0025
143,142,85,1,-0.0025
143,144,86,1,-0.0025
132,136,77,1,-0.0025
132,138,78,1,-0.0025
135,140,82,1,-0.0025
135,143,84,1,-0.0025
135,144,89,1,-0.0025
134,143,88,1,-0.0025
132,142,89,1,-0.0025
131,142,84,1,-0.0025
129,141,77,1,-0.0025
127,142,73,1,-0.0025
128,140,74,1,-0.0025
127,140,71,1,-0.0025
127,138,72,1,-0.0025
127,138,70,1,-0.0025
127,136,71,1,-0.0025
127,136,69,1,-0.0025
127,133,69,1,-0.0025
130,137,70,1,-0.0025
132,137,73,1,-0.0025
131,136,70,1,-0.0025
136,141,77,1,-0.0025
144,149,83,1,-0.0025
149,151,88,1,-0.0025
147,148,88,1,-0.0025
149,149,95,1,-0.0025
147,150,97,1,-0.0025
141,144,89,1,-0.0025
130,133,76,1,-0.0025
126,127,69,1,-0.0025
128,128,68,1,-0.0025
133,129,68,1,-0.0025
136,128,66,1,-0.0025
150,134,75,1,-0.0025
166,141,85,1,-0.0025
180,143,91,1,-0.0025
186,138,90,1,-0.0025
196,137,95,1,-0.0025
207,139,100,1,-0.0025
206,132,95,1,-0.0025
197,118,85,1,-0.0025
194,113,86,1,-0.0025
197,116,89,1,-0.0025
200,116,88,1,-0.0025
