red,green,blue,cat,alpha
87,113,130,100,-0.05
91,117,134,100,-0.05
96,122,139,100,-0.05
95,121,138,100,-0.05
89,115,132,100,-0.05
83,109,126,100,-0.05
82,105,121,100,-0.05
81,104,120,100,-0.05
84,107,121,100,-0.05
84,107,121,100,-0.05
85,107,121,100,-0.05
82,104,118,100,-0.05
83,102,116,100,-0.05
86,105,119,100,-0.05
93,112,126,100,-0.05
96,118,131,100,-0.05
99,120,137,100,-0.05
99,122,138,100,-0.05
101,124,140,100,-0.05
102,125,141,100,-0.05
101,124,140,100,-0.05
98,121,137,100,-0.05
94,117,133,100,-0.05
92,115,131,100,-0.05
92,115,131,100,-0.05
98,121,137,100,-0.05
103,126,142,100,-0.05
102,125,141,100,-0.05
98,121,137,100,-0.05
94,117,133,100,-0.05
94,117,133,100,-0.05
97,120,136,100,-0.05
92,111,126,100,-0.05
94,113,128,100,-0.05
95,114,129,100,-0.05
93,112,127,100,-0.05
90,109,124,100,-0.05
91,110,125,100,-0.05
98,117,132,100,-0.05
105,124,139,100,-0.05
107,126,141,100,-0.05
104,123,138,100,-0.05
102,121,136,100,-0.05
104,123,138,100,-0.05
107,126,141,100,-0.05
109,128,143,100,-0.05
108,127,142,100,-0.05
106,125,139,100,-0.05
113,132,146,100,-0.05
98,118,129,100,-0.05
81,101,112,100,-0.05
74,94,105,100,-0.05
80,99,113,100,-0.05
93,112,126,100,-0.05
102,121,136,100,-0.05
106,125,140,100,-0.05
111,130,147,100,-0.05
107,126,143,100,-0.05
101,119,139,100,-0.05
97,115,135,100,-0.05
96,114,134,100,-0.05
94,112,132,100,-0.05
93,111,133,100,-0.05
92,110,132,100,-0.05
90,111,130,100,-0.05
90,111,130,100,-0.05
89,110,129,100,-0.05
87,108,127,100,-0.05
82,103,122,100,-0.05
74,95,114,100,-0.05
67,88,107,100,-0.05
62,83,102,100,-0.05
55,76,95,100,-0.05
56,77,96,100,-0.05
60,81,100,100,-0.05
65,86,105,100,-0.05
71,92,111,100,-0.05
79,100,119,100,-0.05
85,106,125,100,-0.05
