red,green,blue,cat,alpha
104,144,180,100,0.25
108,148,184,100,0.25
110,148,184,100,0.25
107,145,181,100,0.25
106,145,178,100,0.25
111,150,183,100,0.25
115,154,187,100,0.25
114,155,187,100,0.25
109,149,184,100,0.25
108,153,186,100,0.25
109,155,191,100,0.25
107,157,194,100,0.25
106,158,197,100,0.25
105,160,199,100,0.25
108,162,206,100,0.25
111,166,207,100,0.25
115,163,201,100,0.25
117,163,199,100,0.25
116,162,196,100,0.25
115,161,194,100,0.25
113,159,192,100,0.25
112,159,189,100,0.25
111,158,186,100,0.25
111,158,186,100,0.25
113,160,188,100,0.25
119,166,194,100,0.25
126,173,203,100,0.25
130,177,207,100,0.25
130,176,210,100,0.25
128,174,208,100,0.25
125,171,207,100,0.25
122,170,206,100,0.25
116,166,201,100,0.25
111,164,198,100,0.25
107,159,196,100,0.25
105,157,194,100,0.25
103,157,193,100,0.25
101,155,191,100,0.25
100,153,187,100,0.25
101,151,184,100,0.25
105,154,187,100,0.25
114,159,190,100,0.25
121,163,188,100,0.25
126,164,187,100,0.25
134,166,187,100,0.25
143,172,190,100,0.25
142,169,186,100,0.25
136,163,180,100,0.25
132,163,183,100,0.25
130,162,183,100,0.25
125,160,182,100,0.25
121,157,179,100,0.25
119,155,181,100,0.25
119,159,185,100,0.25
124,163,192,100,0.25
126,169,201,100,0.25
122,166,201,100,0.25
121,169,207,100,0.25
122,171,211,100,0.25
120,173,213,100,0.25
119,172,216,100,0.25
117,171,215,100,0.25
117,174,219,100,0.25
121,174,218,100,0.25
123,166,209,100,0.25
124,163,204,100,0.25
120,160,196,100,0.25
114,155,187,100,0.25
107,149,174,100,0.25
99,141,163,100,0.25
91,134,151,100,0.25
86,130,143,100,0.25
80,124,137,100,0.25
82,126,137,100,0.25
88,132,145,100,0.25
96,139,155,100,0.25
98,141,158,100,0.25
97,140,159,100,0.25
103,145,169,100,0.25
113,155,180,100,0.25
118,161,195,100,0.25
119,162,197,100,0.25
120,164,201,100,0.25
121,167,203,100,0.25
121,166,205,100,0.25
116,164,202,100,0.25
109,159,196,100,0.25
105,155,190,100,0.25
102,150,186,100,0.25
106,152,185,100,0.25
110,155,184,100,0.25
118,160,185,100,0.25
125,166,188,100,0.25
131,169,188,100,0.25
135,170,189,100,0.25
135,171,187,100,0.25
130,162,177,100,0.25
133,165,180,100,0.25
132,165,182,100,0.25
124,160,176,100,0.25
117,152,172,100,0.25
114,152,173,100,0.25
119,160,182,100,0.25
123,167,192,100,0.25
122,168,194,100,0.25
125,174,204,100,0.25
126,175,207,100,0.25
120,173,205,100,0.25
121,173,210,100,0.25
125,179,215,100,0.25
124,180,217,100,0.25
124,174,209,100,0.25
122,163,193,100,0.25
126,162,188,100,0.25
121,158,184,100,0.25
112,150,171,100,0.25
108,146,165,100,0.25
107,146,161,100,0.25
104,146,160,100,0.25
100,142,154,100,0.25
96,140,149,100,0.25
103,147,156,100,0.25
111,158,168,100,0.25
117,164,174,100,0.25
120,168,182,100,0.25
122,170,184,100,0.25
126,173,191,100,0.25
126,178,192,100,0.25
115,178,185,100,0.25
109,177,180,100,0.25
110,175,181,100,0.25
115,180,186,100,0.25
125,188,197,100,0.25
129,192,201,100,0.25
129,187,201,100,0.25
124,181,198,100,0.25
125,177,198,100,0.25
122,172,195,100,0.25
119,166,194,100,0.25
116,161,190,100,0.25
116,159,191,100,0.25
118,161,193,100,0.25
125,165,200,100,0.25
127,170,205,100,0.25
123,168,209,100,0.25
122,169,211,100,0.25
124,172,212,100,0.25
128,176,216,100,0.25
