red,green,blue,cat,alpha
91,133,158,100,0.1
93,135,159,100,0.1
99,136,162,100,0.1
100,138,161,100,0.1
99,135,157,100,0.1
96,132,154,100,0.1
95,130,150,100,0.1
95,130,150,100,0.1
97,132,152,100,0.1
96,131,151,100,0.1
94,130,152,100,0.1
92,128,150,100,0.1
92,130,153,100,0.1
94,135,157,100,0.1
100,140,166,100,0.1
104,146,171,100,0.1
107,144,171,100,0.1
108,145,172,100,0.1
109,146,173,100,0.1
110,147,174,100,0.1
109,146,173,100,0.1
108,145,172,100,0.1
107,144,171,100,0.1
106,143,170,100,0.1
105,142,169,100,0.1
112,149,176,100,0.1
119,156,183,100,0.1
118,155,182,100,0.1
112,149,176,100,0.1
107,144,171,100,0.1
108,145,172,100,0.1
109,148,177,100,0.1
96,134,171,100,0.1
96,135,174,100,0.1
98,136,173,100,0.1
99,137,173,100,0.1
101,137,173,100,0.1
101,137,169,100,0.1
104,139,169,100,0.1
106,142,168,100,0.1
109,141,166,100,0.1
108,140,161,100,0.1
110,138,160,100,0.1
114,143,161,100,0.1
120,147,166,100,0.1
125,152,169,100,0.1
125,153,167,100,0.1
124,151,168,100,0.1
130,159,177,100,0.1
125,153,174,100,0.1
116,147,168,100,0.1
112,143,164,100,0.1
112,144,167,100,0.1
117,149,172,100,0.1
119,153,178,100,0.1
121,157,181,100,0.1
118,153,181,100,0.1
112,152,178,100,0.1
108,147,178,100,0.1
104,145,175,100,0.1
102,145,177,100,0.1
102,145,177,100,0.1
101,144,176,100,0.1
102,143,173,100,0.1
102,139,168,100,0.1
98,133,161,100,0.1
94,129,157,100,0.1
91,126,154,100,0.1
84,119,147,100,0.1
73,108,136,100,0.1
66,101,129,100,0.1
64,99,127,100,0.1
54,89,117,100,0.1
59,94,122,100,0.1
66,101,129,100,0.1
69,104,132,100,0.1
72,107,135,100,0.1
78,113,141,100,0.1
87,122,150,100,0.1
93,130,157,100,0.1
99,136,165,100,0.1
102,141,170,100,0.1
105,144,173,100,0.1
102,141,170,100,0.1
95,134,163,100,0.1
93,132,161,100,0.1
98,137,166,100,0.1
105,144,173,100,0.1
91,130,159,100,0.1
93,132,161,100,0.1
97,136,165,100,0.1
101,140,169,100,0.1
103,142,171,100,0.1
103,142,171,100,0.1
99,138,167,100,0.1
98,135,162,100,0.1
107,141,169,100,0.1
112,143,171,100,0.1
113,144,172,100,0.1
112,143,171,100,0.1
107,141,168,100,0.1
106,140,167,100,0.1
107,143,169,100,0.1
109,145,171,100,0.1
119,156,182,100,0.1
119,156,182,100,0.1
116,156,181,100,0.1
114,154,179,100,0.1
111,151,176,100,0.1
107,147,172,100,0.1
103,145,169,100,0.1
102,143,165,100,0.1
111,143,166,100,0.1
109,140,161,100,0.1
105,136,157,100,0.1
101,132,153,100,0.1
96,127,148,100,0.1
92,123,144,100,0.1
90,121,142,100,0.1
88,119,140,100,0.1
91,122,143,100,0.1
99,130,151,100,0.1
109,140,161,100,0.1
115,146,167,100,0.1
117,148,169,100,0.1
117,148,169,100,0.1
119,150,171,100,0.1
121,152,173,100,0.1
108,141,160,100,0.1
107,140,159,100,0.1
109,144,163,100,0.1
118,153,172,100,0.1
127,162,182,100,0.1
129,164,184,100,0.1
122,159,178,100,0.1
115,152,171,100,0.1
112,148,170,100,0.1
109,145,167,100,0.1
105,143,166,100,0.1
103,141,164,100,0.1
104,142,165,100,0.1
107,145,168,100,0.1
111,149,172,100,0.1
114,151,177,100,0.1
112,149,176,100,0.1
112,149,178,100,0.1
111,148,177,100,0.1
111,148,177,100,0.1
112,149,178,100,0.1
113,150,179,100,0.1
114,151,180,100,0.1
115,152,181,100,0.1
106,143,172,100,0.1
103,140,169,100,0.1
100,137,166,100,0.1
98,135,164,100,0.1
99,136,165,100,0.1
101,138,167,100,0.1
102,139,168,100,0.1
102,138,170,100,0.1
96,132,166,100,0.1
99,135,171,100,0.1
105,141,177,100,0.1
105,141,177,100,0.1
94,130,164,100,0.1
81,117,151,100,0.1
75,111,143,100,0.1
77,113,145,100,0.1
75,112,141,100,0.1
82,119,148,100,0.1
92,129,156,100,0.1
97,134,161,100,0.1
98,135,161,100,0.1
100,137,163,100,0.1
105,143,166,100,0.1
109,146,172,100,0.1
103,139,171,100,0.1
102,138,172,100,0.1
101,137,171,100,0.1
102,138,172,100,0.1
102,138,170,100,0.1
101,137,169,100,0.1
99,136,165,100,0.1
98,135,164,100,0.1
99,136,163,100,0.1
99,136,163,100,0.1
103,140,166,100,0.1
111,148,174,100,0.1
112,150,173,100,0.1
104,142,165,100,0.1
96,134,155,100,0.1
94,130,152,100,0.1
83,117,144,100,0.1
90,121,149,100,0.1
94,125,153,100,0.1
94,125,153,100,0.1
89,123,151,100,0.1
89,123,151,100,0.1
91,126,154,100,0.1
95,130,158,100,0.1
95,132,159,100,0.1
97,134,161,100,0.1
97,136,165,100,0.1
95,134,163,100,0.1
92,131,160,100,0.1
91,130,159,100,0.1
93,134,162,100,0.1
96,137,165,100,0.1
93,132,163,100,0.1
92,131,162,100,0.1
92,131,162,100,0.1
91,130,161,100,0.1
89,128,159,100,0.1
85,124,155,100,0.1
80,119,148,100,0.1
76,115,144,100,0.1
64,103,132,100,0.1
67,106,135,100,0.1
74,113,142,100,0.1
84,123,152,100,0.1
94,133,162,100,0.1
98,137,166,100,0.1
95,134,163,100,0.1
91,130,159,100,0.1
97,136,165,100,0.1
100,139,168,100,0.1
102,141,170,100,0.1
101,140,169,100,0.1
96,135,164,100,0.1
92,131,160,100,0.1
89,129,155,100,0.1
89,129,155,100,0.1
90,127,154,100,0.1
83,120,147,100,0.1
76,113,140,100,0.1
74,111,138,100,0.1
76,112,138,100,0.1
76,112,138,100,0.1
72,108,134,100,0.1
67,104,130,100,0.1
78,116,139,100,0.1
72,113,135,100,0.1
67,108,130,100,0.1
61,102,124,100,0.1
58,95,121,100,0.1
52,89,115,100,0.1
47,83,109,100,0.1
44,80,106,100,0.1
41,75,102,100,0.1
41,75,102,100,0.1
44,75,103,100,0.1
47,78,106,100,0.1
50,81,109,100,0.1
53,84,112,100,0.1
57,87,115,100,0.1
58,88,116,100,0.1
110,152,177,100,0.1
113,153,179,100,0.1
117,154,180,100,0.1
117,155,178,100,0.1
116,152,176,100,0.1
113,149,171,100,0.1
114,149,171,100,0.1
114,149,169,100,0.1
117,152,172,100,0.1
118,153,173,100,0.1
117,153,175,100,0.1
115,151,173,100,0.1
110,148,171,100,0.1
107,144,170,100,0.1
104,144,170,100,0.1
104,144,170,100,0.1
114,151,178,100,0.1
115,152,179,100,0.1
116,153,180,100,0.1
117,154,181,100,0.1
116,153,180,100,0.1
114,151,178,100,0.1
111,148,175,100,0.1
109,146,173,100,0.1
114,151,178,100,0.1
116,153,180,100,0.1
118,155,182,100,0.1
115,152,179,100,0.1
110,147,174,100,0.1
107,144,171,100,0.1
108,145,172,100,0.1
111,148,177,100,0.1
108,146,182,100,0.1
107,147,183,100,0.1
108,146,183,100,0.1
104,142,178,100,0.1
103,139,173,100,0.1
103,139,171,100,0.1
107,142,172,100,0.1
110,145,173,100,0.1
118,152,177,100,0.1
121,153,176,100,0.1
126,157,178,100,0.1
135,163,184,100,0.1
144,171,190,100,0.1
149,176,193,100,0.1
149,176,193,100,0.1
148,175,192,100,0.1
134,163,181,100,0.1
142,170,191,100,0.1
146,177,198,100,0.1
140,171,192,100,0.1
128,160,183,100,0.1
124,156,179,100,0.1
127,161,186,100,0.1
134,170,194,100,0.1
113,148,176,100,0.1
112,149,176,100,0.1
109,148,177,100,0.1
107,148,178,100,0.1
104,145,177,100,0.1
99,142,174,100,0.1
97,140,172,100,0.1
98,139,169,100,0.1
120,157,186,100,0.1
114,149,177,100,0.1
110,145,173,100,0.1
110,145,173,100,0.1
107,142,170,100,0.1
96,131,159,100,0.1
84,119,147,100,0.1
78,113,141,100,0.1
74,109,137,100,0.1
86,121,149,100,0.1
100,135,163,100,0.1
108,143,171,100,0.1
109,144,172,100,0.1
110,145,173,100,0.1
114,149,177,100,0.1
118,155,182,100,0.1
121,158,187,100,0.1
118,157,186,100,0.1
118,157,186,100,0.1
119,158,187,100,0.1
118,157,186,100,0.1
112,151,180,100,0.1
103,142,171,100,0.1
95,134,163,100,0.1
103,142,171,100,0.1
108,147,176,100,0.1
115,154,183,100,0.1
122,161,190,100,0.1
125,164,193,100,0.1
122,161,190,100,0.1
116,155,184,100,0.1
113,150,177,100,0.1
98,132,159,100,0.1
104,135,163,100,0.1
109,140,168,100,0.1
113,144,172,100,0.1
