red,green,blue,cat,alpha
126,123,72,1,0.015
127,124,73,1,0.015
129,126,73,1,0.015
132,129,74,1,0.015
134,133,77,1,0.015
137,138,80,1,0.015
140,141,81,1,0.015
139,145,83,1,0.015
129,135,73,1,0.015
129,138,75,1,0.015
132,142,81,1,0.015
136,146,85,1,0.015
136,147,89,1,0.015
135,146,88,1,0.015
132,145,89,1,0.015
130,144,83,1,0.015
132,145,75,1,0.015
131,145,70,1,0.015
131,145,70,1,0.015
130,144,69,1,0.015
127,143,70,1,0.015
126,142,69,1,0.015
125,141,68,1,0.015
125,141,68,1,0.015
125,138,68,1,0.015
127,140,70,1,0.015
130,139,72,1,0.015
132,141,74,1,0.015
141,146,80,1,0.015
148,153,87,1,0.015
155,155,91,1,0.015
154,155,95,1,0.015
140,143,88,1,0.015
138,143,89,1,0.015
132,135,80,1,0.015
126,127,69,1,0.015
125,124,60,1,0.015
131,126,60,1,0.015
140,126,61,1,0.015
143,124,58,1,0.015
154,126,63,1,0.015
169,133,73,1,0.015
181,134,82,1,0.015
185,129,82,1,0.015
195,127,88,1,0.015
207,132,100,1,0.015
207,126,97,1,0.015
195,115,88,1,0.015
178,103,72,1,0.015
178,103,71,1,0.015
183,103,70,1,0.015
188,102,67,1,0.015
191,101,64,1,0.015
190,101,59,1,0.015
185,101,55,1,0.015
178,102,52,1,0.015
168,105,51,1,0.015
160,111,53,1,0.015
157,123,62,1,0.015
162,140,80,1,0.015
169,157,97,1,0.015
172,166,108,1,0.015
166,164,107,1,0.015
159,160,102,1,0.015
160,164,105,1,0.015
155,161,99,1,0.015
150,159,96,1,0.015
152,161,98,1,0.015
155,164,101,1,0.015
151,160,97,1,0.015
141,150,87,1,0.015
132,141,78,1,0.015
130,140,77,1,0.015
131,141,78,1,0.015
133,145,81,1,0.015
136,148,84,1,0.015
140,152,88,1,0.015
143,155,91,1,0.015
145,157,93,1,0.015
148,156,96,1,0.015
150,149,93,1,0.015
152,149,96,1,0.015
153,150,95,1,0.015
152,153,96,1,0.015
152,153,95,1,0.015
151,155,94,1,0.015
149,155,93,1,0.015
149,155,91,1,0.015
146,151,85,1,0.015
145,150,83,1,0.015
148,149,83,1,0.015
154,153,86,1,0.015
161,158,89,1,0.015
166,161,93,1,0.015
168,159,90,1,0.015
171,153,87,1,0.015
170,136,75,1,0.015
171,131,72,1,0.015
167,133,70,1,0.015
166,138,73,1,0.015
161,141,72,1,0.015
155,143,71,1,0.015
155,149,75,1,0.015
156,156,82,1,0.015
154,160,86,1,0.015
155,162,92,1,0.015
154,163,96,1,0.015
154,163,100,1,0.015
156,161,103,1,0.015
157,162,106,1,0.015
161,163,113,1,0.015
164,167,114,1,0.015
157,162,106,1,0.015
158,163,105,1,0.015
160,165,107,1,0.015
161,166,108,1,0.015
158,163,105,1,0.015
149,154,96,1,0.015
138,143,85,1,0.015
130,135,77,1,0.015
122,127,69,1,0.015
121,126,68,1,0.015
122,127,69,1,0.015
127,132,74,1,0.015
136,141,83,1,0.015
147,152,94,1,0.015
155,160,102,1,0.015
157,165,106,1,0.015
151,159,99,1,0.015
151,161,100,1,0.015
149,159,98,1,0.015
143,153,92,1,0.015
136,146,85,1,0.015
134,144,83,1,0.015
137,147,86,1,0.015
142,152,91,1,0.015
142,152,91,1,0.015
144,154,93,1,0.015
147,157,96,1,0.015
147,157,96,1,0.015
145,155,94,1,0.015
144,154,93,1,0.015
146,156,95,1,0.015
149,159,98,1,0.015
159,164,108,1,0.015
159,164,106,1,0.015
159,165,105,1,0.015
157,163,99,1,0.015
156,163,95,1,0.015
158,166,93,1,0.015
161,169,94,1,0.015
164,172,95,1,0.015
156,164,87,1,0.015
150,158,83,1,0.015
143,151,78,1,0.015
141,148,80,1,0.015
143,149,85,1,0.015
148,154,94,1,0.015
151,156,98,1,0.015
153,156,101,1,0.015
154,153,97,1,0.015
148,149,92,1,0.015
133,144,86,1,0.015
123,132,75,1,0.015
118,117,63,1,0.015
125,103,56,1,0.015
147,93,57,1,0.015
167,90,62,1,0.015
182,83,60,1,0.015
183,78,57,1,0.015
173,71,48,1,0.015
165,65,41,1,0.015
166,64,39,1,0.015
174,68,44,1,0.015
190,71,49,1,0.015
195,73,50,1,0.015
186,60,38,1,0.015
173,59,32,1,0.015
164,76,40,1,0.015
168,110,64,1,0.015
170,141,85,1,0.015
155,151,87,1,0.015
138,149,80,1,0.015
128,145,74,1,0.015
130,146,75,1,0.015
132,142,73,1,0.015
138,139,73,1,0.015
146,142,78,1,0.015
152,149,82,1,0.015
152,153,85,1,0.015
146,152,82,1,0.015
139,149,78,1,0.015
139,149,76,1,0.015
144,154,81,1,0.015
151,159,86,1,0.015
154,160,88,1,0.015
155,158,89,1,0.015
155,156,88,1,0.015
157,156,89,1,0.015
158,157,90,1,0.015
158,157,92,1,0.015
158,159,93,1,0.015
158,159,93,1,0.015
154,159,92,1,0.015
152,157,91,1,0.015
145,154,87,1,0.015
141,150,83,1,0.015
139,149,80,1,0.015
133,139,69,1,0.015
135,138,69,1,0.015
133,136,69,1,0.015
129,131,68,1,0.015
121,125,66,1,0.015
115,118,63,1,0.015
108,111,58,1,0.015
105,107,57,1,0.015
110,114,63,1,0.015
102,107,53,1,0.015
99,107,50,1,0.015
109,117,57,1,0.015
119,128,63,1,0.015
125,135,66,1,0.015
132,142,71,1,0.015
141,149,74,1,0.015
136,138,63,1,0.015
137,138,60,1,0.015
139,137,60,1,0.015
139,136,55,1,0.015
139,134,52,1,0.015
138,132,46,1,0.015
137,129,44,1,0.015
136,129,41,1,0.015
138,132,46,1,0.015
136,131,47,1,0.015
133,128,47,1,0.015
126,124,47,1,0.015
120,120,48,1,0.015
116,119,50,1,0.015
117,120,53,1,0.015
115,121,49,1,0.015
110,117,37,1,0.015
113,121,36,1,0.015
116,124,41,1,0.015
115,122,44,1,0.015
113,119,47,1,0.015
112,117,50,1,0.015
114,119,55,1,0.015
116,120,61,1,0.015
112,115,58,1,0.015
108,111,56,1,0.015
106,109,56,1,0.015
108,111,58,1,0.015
108,111,56,1,0.015
106,109,54,1,0.015
109,112,57,1,0.015
114,117,62,1,0.015
135,132,81,1,0.015
135,132,81,1,0.015
136,133,80,1,0.015
137,136,80,1,0.015
139,138,82,1,0.015
140,141,83,1,0.015
141,145,84,1,0.015
141,147,85,1,0.015
132,138,76,1,0.015
131,140,77,1,0.015
133,143,82,1,0.015
135,145,84,1,0.015
135,146,88,1,0.015
134,145,87,1,0.015
131,144,88,1,0.015
130,144,83,1,0.015
129,142,73,1,0.015
129,143,68,1,0.015
128,141,69,1,0.015
127,140,68,1,0.015
124,140,67,1,0.015
124,140,67,1,0.015
123,139,68,1,0.015
123,139,68,1,0.015
125,138,68,1,0.015
125,138,69,1,0.015
127,138,70,1,0.015
130,139,72,1,0.015
137,144,77,1,0.015
144,149,83,1,0.015
150,152,89,1,0.015
152,153,93,1,0.015
146,151,95,1,0.015
144,151,97,1,0.015
