red,green,blue,cat,alpha
86,114,138,100,0.0025
90,118,142,100,0.0025
95,123,145,100,0.0025
96,124,146,100,0.0025
93,121,143,100,0.0025
88,116,138,100,0.0025
84,112,133,100,0.0025
83,111,132,100,0.0025
84,112,133,100,0.0025
86,114,135,100,0.0025
87,116,134,100,0.0025
86,115,133,100,0.0025
85,114,132,100,0.0025
87,116,134,100,0.0025
93,122,140,100,0.0025
97,126,144,100,0.0025
103,131,152,100,0.0025
104,132,153,100,0.0025
105,133,154,100,0.0025
105,133,154,100,0.0025
103,131,152,100,0.0025
100,128,149,100,0.0025
97,125,146,100,0.0025
95,123,144,100,0.0025
90,118,139,100,0.0025
97,125,146,100,0.0025
104,132,153,100,0.0025
105,133,154,100,0.0025
100,128,149,100,0.0025
98,126,147,100,0.0025
102,130,151,100,0.0025
107,135,156,100,0.0025
91,119,140,100,0.0025
92,120,141,100,0.0025
92,120,141,100,0.0025
92,120,141,100,0.0025
92,120,141,100,0.0025
94,122,143,100,0.0025
97,125,146,100,0.0025
100,128,149,100,0.0025
103,131,152,100,0.0025
102,130,151,100,0.0025
102,130,151,100,0.0025
105,133,154,100,0.0025
108,136,157,100,0.0025
109,137,158,100,0.0025
106,134,155,100,0.0025
104,131,150,100,0.0025
121,144,160,100,0.0025
109,131,145,100,0.0025
93,115,129,100,0.0025
83,105,119,100,0.0025
84,107,123,100,0.0025
93,116,132,100,0.0025
101,127,144,100,0.0025
108,134,151,100,0.0025
108,135,154,100,0.0025
105,132,151,100,0.0025
100,128,149,100,0.0025
97,125,146,100,0.0025
94,125,146,100,0.0025
94,125,146,100,0.0025
92,123,144,100,0.0025
91,122,143,100,0.0025
97,124,145,100,0.0025
95,122,143,100,0.0025
92,119,140,100,0.0025
87,114,135,100,0.0025
80,107,128,100,0.0025
72,99,120,100,0.0025
64,91,112,100,0.0025
60,87,108,100,0.0025
55,82,103,100,0.0025
54,81,102,100,0.0025
55,82,103,100,0.0025
62,89,110,100,0.0025
73,100,121,100,0.0025
82,109,130,100,0.0025
86,113,134,100,0.0025
87,114,135,100,0.0025
96,122,145,100,0.0025
92,118,141,100,0.0025
88,114,137,100,0.0025
89,115,138,100,0.0025
93,119,142,100,0.0025
96,122,145,100,0.0025
96,122,145,100,0.0025
94,120,143,100,0.0025
82,108,131,100,0.0025
84,110,133,100,0.0025
88,114,137,100,0.0025
93,119,142,100,0.0025
97,123,146,100,0.0025
95,121,144,100,0.0025
90,116,139,100,0.0025
85,110,132,100,0.0025
91,113,136,100,0.0025
97,118,139,100,0.0025
99,120,141,100,0.0025
97,118,139,100,0.0025
92,114,135,100,0.0025
93,115,136,100,0.0025
98,123,143,100,0.0025
106,131,151,100,0.0025
100,127,146,100,0.0025
101,128,147,100,0.0025
102,131,149,100,0.0025
103,132,150,100,0.0025
100,131,149,100,0.0025
96,127,145,100,0.0025
92,123,141,100,0.0025
90,121,139,100,0.0025
93,122,140,100,0.0025
96,125,143,100,0.0025
93,122,140,100,0.0025
86,115,133,100,0.0025
83,112,130,100,0.0025
85,114,132,100,0.0025
84,113,131,100,0.0025
78,107,125,100,0.0025
86,115,133,100,0.0025
86,115,133,100,0.0025
86,115,133,100,0.0025
88,117,135,100,0.0025
91,120,138,100,0.0025
97,126,144,100,0.0025
102,131,149,100,0.0025
105,134,152,100,0.0025
97,125,147,100,0.0025
100,128,150,100,0.0025
101,129,151,100,0.0025
103,131,153,100,0.0025
109,137,159,100,0.0025
115,143,165,100,0.0025
115,143,165,100,0.0025
110,138,160,100,0.0025
106,134,156,100,0.0025
101,129,151,100,0.0025
99,127,149,100,0.0025
99,127,149,100,0.0025
98,126,148,100,0.0025
95,123,145,100,0.0025
96,124,146,100,0.0025
99,127,149,100,0.0025
94,122,143,100,0.0025
89,117,138,100,0.0025
84,112,133,100,0.0025
84,112,133,100,0.0025
88,116,137,100,0.0025
93,121,142,100,0.0025
96,124,145,100,0.0025
97,125,146,100,0.0025
95,123,144,100,0.0025
95,123,144,100,0.0025
94,122,143,100,0.0025
92,120,141,100,0.0025
90,118,139,100,0.0025
91,119,140,100,0.0025
94,122,143,100,0.0025
96,124,145,100,0.0025
95,123,144,100,0.0025
95,123,144,100,0.0025
95,123,144,100,0.0025
93,121,142,100,0.0025
88,116,137,100,0.0025
84,112,133,100,0.0025
81,109,130,100,0.0025
79,107,128,100,0.0025
76,104,125,100,0.0025
86,114,135,100,0.0025
92,120,141,100,0.0025
90,118,139,100,0.0025
88,116,137,100,0.0025
92,120,141,100,0.0025
99,127,148,100,0.0025
103,131,152,100,0.0025
96,124,146,100,0.0025
92,120,142,100,0.0025
92,120,142,100,0.0025
97,125,147,100,0.0025
99,127,149,100,0.0025
97,125,147,100,0.0025
95,123,145,100,0.0025
97,125,147,100,0.0025
89,117,139,100,0.0025
93,121,143,100,0.0025
97,125,147,100,0.0025
100,128,150,100,0.0025
97,125,147,100,0.0025
89,117,139,100,0.0025
78,106,128,100,0.0025
71,99,121,100,0.0025
68,99,120,100,0.0025
72,103,124,100,0.0025
77,108,129,100,0.0025
81,112,133,100,0.0025
83,114,135,100,0.0025
83,114,135,100,0.0025
84,115,136,100,0.0025
85,116,137,100,0.0025
85,116,137,100,0.0025
83,114,135,100,0.0025
80,111,132,100,0.0025
78,109,130,100,0.0025
78,109,130,100,0.0025
81,112,133,100,0.0025
86,117,138,100,0.0025
89,120,141,100,0.0025
90,118,140,100,0.0025
90,118,140,100,0.0025
91,119,141,100,0.0025
91,119,141,100,0.0025
89,117,139,100,0.0025
83,111,133,100,0.0025
76,104,126,100,0.0025
70,98,120,100,0.0025
73,101,123,100,0.0025
75,103,125,100,0.0025
76,104,126,100,0.0025
79,107,129,100,0.0025
86,114,136,100,0.0025
93,121,143,100,0.0025
92,120,142,100,0.0025
86,114,136,100,0.0025
88,115,142,100,0.0025
90,117,144,100,0.0025
92,120,144,100,0.0025
92,120,144,100,0.0025
91,119,143,100,0.0025
91,119,143,100,0.0025
92,120,142,100,0.0025
94,122,144,100,0.0025
93,121,142,100,0.0025
87,115,136,100,0.0025
78,107,125,100,0.0025
71,100,118,100,0.0025
66,95,111,100,0.0025
64,93,109,100,0.0025
62,91,105,100,0.0025
60,89,103,100,0.0025
69,98,114,100,0.0025
68,97,113,100,0.0025
65,94,110,100,0.0025
63,92,108,100,0.0025
61,90,106,100,0.0025
57,86,102,100,0.0025
53,82,98,100,0.0025
50,79,95,100,0.0025
52,81,97,100,0.0025
47,76,92,100,0.0025
41,70,86,100,0.0025
