red,green,blue,cat,alpha
80,140,40,7,0.015
94,154,54,7,0.015
98,158,60,7,0.015
108,168,70,7,0.015
99,159,63,7,0.015
83,143,47,7,0.015
99,156,61,7,0.015
106,163,68,7,0.015
122,179,84,7,0.015
101,158,61,7,0.015
101,157,60,7,0.015
80,136,35,7,0.015
118,174,73,7,0.015
98,155,50,7,0.015
115,170,66,7,0.015
114,171,64,7,0.015
105,162,59,7,0.015
116,174,71,7,0.015
132,190,88,7,0.015
109,167,65,7,0.015
89,146,49,7,0.015
89,146,49,7,0.015
81,138,43,7,0.015
86,143,48,7,0.015
91,148,53,7,0.015
71,128,33,7,0.015
71,128,31,7,0.015
83,141,41,7,0.015
94,152,52,7,0.015
111,169,67,7,0.015
100,158,55,7,0.015
58,119,16,7,0.015
86,146,48,7,0.015
60,125,25,7,0.015
117,182,78,7,0.015
102,170,61,7,0.015
125,193,84,7,0.015
112,178,68,7,0.015
81,142,38,7,0.015
137,193,92,7,0.015
148,199,104,7,0.015
136,185,93,7,0.015
99,150,58,7,0.015
114,169,75,7,0.015
85,145,45,7,0.015
77,146,39,7,0.015
90,167,51,7,0.015
99,176,62,7,0.015
118,183,83,7,0.015
105,164,70,7,0.015
86,146,50,7,0.015
99,159,63,7,0.015
92,152,54,7,0.015
116,176,78,7,0.015
111,171,71,7,0.015
105,165,65,7,0.015
85,146,43,7,0.015
90,151,48,7,0.015
93,154,51,7,0.015
115,176,73,7,0.015
122,183,80,7,0.015
84,145,42,7,0.015
80,140,40,7,0.015
136,197,94,7,0.015
103,162,54,7,0.015
116,175,65,7,0.015
110,169,61,7,0.015
116,175,67,7,0.015
105,163,60,7,0.015
103,161,58,7,0.015
128,186,86,7,0.015
116,174,74,7,0.015
87,144,47,7,0.015
88,145,48,7,0.015
84,142,42,7,0.015
80,138,38,7,0.015
85,143,41,7,0.015
93,151,49,7,0.015
89,147,44,7,0.015
78,136,33,7,0.015
73,131,28,7,0.015
68,126,23,7,0.015
85,143,41,7,0.015
86,144,42,7,0.015
122,178,81,7,0.015
134,190,93,7,0.015
105,161,64,7,0.015
146,202,103,7,0.015
90,148,48,7,0.015
93,154,50,7,0.015
141,203,96,7,0.015
149,216,103,7,0.015
128,197,80,7,0.015
126,200,77,7,0.015
108,182,59,7,0.015
79,152,34,7,0.015
90,155,53,7,0.015
89,151,54,7,0.015
90,152,55,7,0.015
98,160,59,7,0.015
105,168,64,7,0.015
106,169,62,7,0.015
101,164,57,7,0.015
97,161,51,7,0.015
84,147,42,7,0.015
88,151,47,7,0.015
68,130,31,7,0.015
58,119,24,7,0.015
114,174,86,7,0.015
86,145,61,7,0.015
119,178,96,7,0.015
129,188,104,7,0.015
104,168,74,7,0.015
111,175,78,7,0.015
104,165,72,7,0.015
101,162,69,7,0.015
89,150,57,7,0.015
65,126,31,7,0.015
69,129,33,7,0.015
85,145,45,7,0.015
100,158,56,7,0.015
79,137,35,7,0.015
73,131,31,7,0.015
95,152,58,7,0.015
109,162,80,7,0.015
123,175,101,7,0.015
58,109,43,7,0.015
29,81,9,7,0.015
88,145,50,7,0.015
95,154,46,7,0.015
126,188,77,7,0.015
124,187,72,7,0.015
134,198,76,7,0.015
85,149,26,7,0.015
126,192,66,7,0.015
144,210,86,7,0.015
130,198,75,7,0.015
136,203,87,7,0.015
101,169,60,7,0.015
104,170,70,7,0.015
70,136,46,7,0.015
97,162,78,7,0.015
78,142,66,7,0.015
81,146,62,7,0.015
121,186,86,7,0.015
117,183,73,7,0.015
98,162,52,7,0.015
105,169,59,7,0.015
137,199,88,7,0.015
128,190,79,7,0.015
107,166,58,7,0.015
117,176,68,7,0.015
84,141,38,7,0.015
117,174,71,7,0.015
110,164,66,7,0.015
71,125,29,7,0.015
91,145,51,7,0.015
87,140,48,7,0.015
55,105,18,7,0.015
97,151,57,7,0.015
114,172,69,7,0.015
114,176,65,7,0.015
128,190,79,7,0.015
136,198,87,7,0.015
110,172,63,7,0.015
93,155,46,7,0.015
102,164,55,7,0.015
95,157,48,7,0.015
128,190,83,7,0.015
114,176,69,7,0.015
109,171,64,7,0.015
116,178,71,7,0.015
116,177,73,7,0.015
106,167,63,7,0.015
100,161,57,7,0.015
102,162,64,7,0.015
85,144,60,7,0.015
88,147,67,7,0.015
79,139,53,7,0.015
73,134,41,7,0.015
117,179,82,7,0.015
86,149,44,7,0.015
121,185,75,7,0.015
125,190,74,7,0.015
106,171,55,7,0.015
111,176,58,7,0.015
113,177,63,7,0.015
112,176,64,7,0.015
115,179,69,7,0.015
113,176,71,7,0.015
96,159,55,7,0.015
75,137,36,7,0.015
116,173,78,7,0.015
102,159,64,7,0.015
91,148,51,7,0.015
92,150,50,7,0.015
100,158,56,7,0.015
108,167,61,7,0.015
119,178,72,7,0.015
130,189,81,7,0.015
124,183,73,7,0.015
