red,green,blue,cat,alpha
93,120,147,100,0.015
96,123,150,100,0.015
99,126,153,100,0.015
99,126,153,100,0.015
95,123,147,100,0.015
89,117,141,100,0.015
85,113,135,100,0.015
83,111,133,100,0.015
86,114,136,100,0.015
88,116,138,100,0.015
89,117,138,100,0.015
88,116,137,100,0.015
87,115,136,100,0.015
89,117,138,100,0.015
95,123,144,100,0.015
99,127,148,100,0.015
105,133,155,100,0.015
106,134,156,100,0.015
107,135,157,100,0.015
107,135,157,100,0.015
105,133,155,100,0.015
102,130,152,100,0.015
99,127,149,100,0.015
97,125,147,100,0.015
91,119,141,100,0.015
97,125,147,100,0.015
104,132,154,100,0.015
105,133,155,100,0.015
103,131,153,100,0.015
101,129,151,100,0.015
103,131,153,100,0.015
105,133,155,100,0.015
94,122,144,100,0.015
95,123,145,100,0.015
95,123,145,100,0.015
95,123,145,100,0.015
95,123,145,100,0.015
97,125,147,100,0.015
100,128,150,100,0.015
103,131,153,100,0.015
110,138,160,100,0.015
106,134,156,100,0.015
103,131,153,100,0.015
104,132,154,100,0.015
108,136,158,100,0.015
110,138,160,100,0.015
111,139,161,100,0.015
111,138,157,100,0.015
124,150,165,100,0.015
112,136,148,100,0.015
93,119,132,100,0.015
86,112,125,100,0.015
90,116,131,100,0.015
99,125,140,100,0.015
105,132,151,100,0.015
108,135,154,100,0.015
109,137,158,100,0.015
106,134,155,100,0.015
100,130,154,100,0.015
97,127,151,100,0.015
95,127,152,100,0.015
95,127,152,100,0.015
93,124,152,100,0.015
92,124,149,100,0.015
96,124,148,100,0.015
95,123,145,100,0.015
92,120,142,100,0.015
87,115,137,100,0.015
80,108,130,100,0.015
72,100,122,100,0.015
64,92,114,100,0.015
58,86,108,100,0.015
55,83,105,100,0.015
54,82,104,100,0.015
55,83,105,100,0.015
62,90,112,100,0.015
73,101,123,100,0.015
82,110,132,100,0.015
86,114,136,100,0.015
87,115,137,100,0.015
93,121,143,100,0.015
92,120,142,100,0.015
91,119,141,100,0.015
91,119,141,100,0.015
92,120,142,100,0.015
93,121,143,100,0.015
95,123,145,100,0.015
96,124,146,100,0.015
86,114,136,100,0.015
86,114,136,100,0.015
88,116,138,100,0.015
94,122,144,100,0.015
100,128,150,100,0.015
99,127,149,100,0.015
92,120,142,100,0.015
86,112,135,100,0.015
93,118,140,100,0.015
99,121,144,100,0.015
101,126,148,100,0.015
99,124,146,100,0.015
95,120,142,100,0.015
95,120,142,100,0.015
101,128,149,100,0.015
109,136,157,100,0.015
98,126,147,100,0.015
100,128,149,100,0.015
101,132,152,100,0.015
102,133,153,100,0.015
100,133,152,100,0.015
97,130,149,100,0.015
93,126,145,100,0.015
91,124,143,100,0.015
96,124,145,100,0.015
98,126,147,100,0.015
93,121,142,100,0.015
86,114,135,100,0.015
86,114,135,100,0.015
90,118,139,100,0.015
89,117,138,100,0.015
84,112,133,100,0.015
87,115,136,100,0.015
87,115,136,100,0.015
88,116,137,100,0.015
91,119,140,100,0.015
94,122,143,100,0.015
99,127,148,100,0.015
104,132,153,100,0.015
107,135,156,100,0.015
98,126,148,100,0.015
102,130,152,100,0.015
105,133,155,100,0.015
108,136,158,100,0.015
114,142,164,100,0.015
119,147,169,100,0.015
115,146,167,100,0.015
109,140,161,100,0.015
106,138,159,100,0.015
100,132,153,100,0.015
95,127,148,100,0.015
95,127,148,100,0.015
92,127,147,100,0.015
92,127,147,100,0.015
95,130,150,100,0.015
101,136,156,100,0.015
98,129,150,100,0.015
93,124,145,100,0.015
88,119,140,100,0.015
87,118,139,100,0.015
91,122,143,100,0.015
95,126,147,100,0.015
98,129,150,100,0.015
99,130,151,100,0.015
94,125,146,100,0.015
94,125,146,100,0.015
93,124,145,100,0.015
91,122,143,100,0.015
89,120,141,100,0.015
90,121,142,100,0.015
93,124,145,100,0.015
95,126,147,100,0.015
96,124,146,100,0.015
98,126,148,100,0.015
98,126,148,100,0.015
94,122,144,100,0.015
88,116,138,100,0.015
83,111,133,100,0.015
80,108,130,100,0.015
80,108,130,100,0.015
78,106,128,100,0.015
85,113,135,100,0.015
93,121,143,100,0.015
95,123,145,100,0.015
92,120,142,100,0.015
93,121,143,100,0.015
98,126,148,100,0.015
104,132,154,100,0.015
97,125,149,100,0.015
94,122,146,100,0.015
93,121,145,100,0.015
98,126,150,100,0.015
99,127,151,100,0.015
97,125,149,100,0.015
95,123,147,100,0.015
96,124,148,100,0.015
85,113,137,100,0.015
92,120,144,100,0.015
100,128,152,100,0.015
104,132,156,100,0.015
100,128,152,100,0.015
92,120,144,100,0.015
84,112,136,100,0.015
80,108,132,100,0.015
73,103,127,100,0.015
76,106,130,100,0.015
79,109,133,100,0.015
81,111,135,100,0.015
83,113,137,100,0.015
84,114,138,100,0.015
86,116,140,100,0.015
87,117,141,100,0.015
84,114,138,100,0.015
83,113,137,100,0.015
81,111,135,100,0.015
79,109,133,100,0.015
81,111,135,100,0.015
84,114,138,100,0.015
90,120,144,100,0.015
93,123,147,100,0.015
88,118,142,100,0.015
89,119,143,100,0.015
90,120,144,100,0.015
90,120,144,100,0.015
88,118,142,100,0.015
82,112,136,100,0.015
75,105,129,100,0.015
70,100,124,100,0.015
67,97,121,100,0.015
70,100,124,100,0.015
73,103,127,100,0.015
77,107,131,100,0.015
86,116,140,100,0.015
94,124,148,100,0.015
95,125,149,100,0.015
90,120,144,100,0.015
87,117,145,100,0.015
89,119,147,100,0.015
91,121,147,100,0.015
91,121,147,100,0.015
90,120,146,100,0.015
90,120,146,100,0.015
91,121,145,100,0.015
93,123,147,100,0.015
89,120,141,100,0.015
84,115,136,100,0.015
77,108,128,100,0.015
71,102,122,100,0.015
66,97,115,100,0.015
62,93,111,100,0.015
58,89,107,100,0.015
56,87,105,100,0.015
71,98,117,100,0.015
69,96,115,100,0.015
67,94,113,100,0.015
65,92,111,100,0.015
63,90,109,100,0.015
59,86,105,100,0.015
55,82,101,100,0.015
52,79,98,100,0.015
53,80,99,100,0.015
48,75,94,100,0.015
43,70,89,100,0.015
42,69,88,100,0.015
47,74,93,100,0.015
52,79,98,100,0.015
54,81,100,100,0.015
55,82,101,100,0.015
