red,green,blue,cat,alpha
88,114,139,100,-0.0025
91,117,142,100,-0.0025
96,122,145,100,-0.0025
97,123,146,100,-0.0025
94,120,143,100,-0.0025
90,116,139,100,-0.0025
86,113,134,100,-0.0025
84,111,132,100,-0.0025
82,109,130,100,-0.0025
84,111,132,100,-0.0025
86,113,132,100,-0.0025
85,112,131,100,-0.0025
85,112,131,100,-0.0025
88,115,134,100,-0.0025
94,121,140,100,-0.0025
99,126,145,100,-0.0025
104,132,153,100,-0.0025
104,132,153,100,-0.0025
105,133,154,100,-0.0025
104,132,153,100,-0.0025
102,130,151,100,-0.0025
98,126,147,100,-0.0025
95,123,144,100,-0.0025
93,121,142,100,-0.0025
92,120,141,100,-0.0025
97,125,146,100,-0.0025
102,130,151,100,-0.0025
102,130,151,100,-0.0025
99,127,148,100,-0.0025
96,124,145,100,-0.0025
98,126,147,100,-0.0025
100,128,149,100,-0.0025
91,118,139,100,-0.0025
92,119,140,100,-0.0025
92,119,140,100,-0.0025
92,119,140,100,-0.0025
92,119,140,100,-0.0025
94,121,142,100,-0.0025
97,124,145,100,-0.0025
100,127,148,100,-0.0025
103,130,151,100,-0.0025
102,129,150,100,-0.0025
102,129,150,100,-0.0025
106,133,154,100,-0.0025
110,137,158,100,-0.0025
111,138,159,100,-0.0025
108,135,156,100,-0.0025
106,132,149,100,-0.0025
124,147,161,100,-0.0025
110,132,143,100,-0.0025
92,114,127,100,-0.0025
83,105,118,100,-0.0025
86,109,123,100,-0.0025
97,120,134,100,-0.0025
103,129,146,100,-0.0025
107,133,150,100,-0.0025
107,134,153,100,-0.0025
104,131,150,100,-0.0025
98,126,148,100,-0.0025
95,123,145,100,-0.0025
92,122,146,100,-0.0025
91,121,145,100,-0.0025
89,119,145,100,-0.0025
88,118,142,100,-0.0025
97,123,148,100,-0.0025
95,121,144,100,-0.0025
92,118,141,100,-0.0025
87,113,136,100,-0.0025
80,106,129,100,-0.0025
72,98,121,100,-0.0025
64,90,113,100,-0.0025
60,86,109,100,-0.0025
52,78,101,100,-0.0025
54,80,103,100,-0.0025
57,83,106,100,-0.0025
63,89,112,100,-0.0025
70,96,119,100,-0.0025
78,104,127,100,-0.0025
85,111,134,100,-0.0025
89,116,137,100,-0.0025
95,122,143,100,-0.0025
91,118,137,100,-0.0025
87,114,133,100,-0.0025
88,115,134,100,-0.0025
92,119,138,100,-0.0025
95,122,141,100,-0.0025
95,122,141,100,-0.0025
93,120,139,100,-0.0025
84,111,130,100,-0.0025
84,111,130,100,-0.0025
86,113,132,100,-0.0025
92,119,138,100,-0.0025
98,125,144,100,-0.0025
97,124,143,100,-0.0025
90,117,136,100,-0.0025
83,110,129,100,-0.0025
88,115,134,100,-0.0025
91,118,137,100,-0.0025
93,120,139,100,-0.0025
90,117,136,100,-0.0025
86,113,132,100,-0.0025
89,116,135,100,-0.0025
98,125,144,100,-0.0025
108,135,154,100,-0.0025
98,125,144,100,-0.0025
99,126,145,100,-0.0025
101,128,147,100,-0.0025
102,129,148,100,-0.0025
101,128,147,100,-0.0025
97,124,143,100,-0.0025
93,120,139,100,-0.0025
91,118,137,100,-0.0025
93,120,139,100,-0.0025
96,123,142,100,-0.0025
93,120,139,100,-0.0025
86,113,132,100,-0.0025
83,110,129,100,-0.0025
85,112,131,100,-0.0025
84,111,130,100,-0.0025
78,105,124,100,-0.0025
83,110,129,100,-0.0025
83,110,129,100,-0.0025
83,110,129,100,-0.0025
85,112,131,100,-0.0025
90,117,136,100,-0.0025
95,122,141,100,-0.0025
101,128,147,100,-0.0025
104,131,150,100,-0.0025
99,127,148,100,-0.0025
101,129,150,100,-0.0025
102,130,151,100,-0.0025
103,131,152,100,-0.0025
108,136,157,100,-0.0025
114,142,163,100,-0.0025
113,141,162,100,-0.0025
108,136,157,100,-0.0025
105,133,154,100,-0.0025
102,130,151,100,-0.0025
100,128,149,100,-0.0025
100,128,149,100,-0.0025
97,125,146,100,-0.0025
93,121,142,100,-0.0025
95,123,144,100,-0.0025
101,129,150,100,-0.0025
91,119,140,100,-0.0025
86,114,135,100,-0.0025
82,110,131,100,-0.0025
83,111,132,100,-0.0025
87,115,136,100,-0.0025
93,121,142,100,-0.0025
97,125,146,100,-0.0025
98,126,147,100,-0.0025
94,122,143,100,-0.0025
94,122,143,100,-0.0025
93,121,142,100,-0.0025
91,119,140,100,-0.0025
89,117,138,100,-0.0025
90,118,139,100,-0.0025
93,121,142,100,-0.0025
95,123,144,100,-0.0025
96,123,144,100,-0.0025
96,123,144,100,-0.0025
96,123,144,100,-0.0025
94,121,142,100,-0.0025
89,116,137,100,-0.0025
85,112,133,100,-0.0025
82,109,130,100,-0.0025
80,107,128,100,-0.0025
79,106,127,100,-0.0025
89,116,137,100,-0.0025
97,124,145,100,-0.0025
95,122,143,100,-0.0025
92,119,140,100,-0.0025
94,121,142,100,-0.0025
98,125,146,100,-0.0025
100,127,148,100,-0.0025
97,123,146,100,-0.0025
93,119,142,100,-0.0025
93,119,142,100,-0.0025
97,123,146,100,-0.0025
98,124,147,100,-0.0025
96,122,145,100,-0.0025
94,120,143,100,-0.0025
95,121,144,100,-0.0025
89,115,138,100,-0.0025
93,119,142,100,-0.0025
97,123,146,100,-0.0025
100,126,149,100,-0.0025
97,123,146,100,-0.0025
89,115,138,100,-0.0025
78,104,127,100,-0.0025
70,96,119,100,-0.0025
74,102,124,100,-0.0025
77,105,127,100,-0.0025
80,108,130,100,-0.0025
82,110,132,100,-0.0025
