red,green,blue,cat,alpha
90,106,119,100,-0.1
91,107,120,100,-0.1
93,109,122,100,-0.1
92,108,121,100,-0.1
88,104,117,100,-0.1
84,100,113,100,-0.1
82,98,111,100,-0.1
81,97,110,100,-0.1
78,94,107,100,-0.1
79,95,108,100,-0.1
80,96,109,100,-0.1
81,97,110,100,-0.1
81,97,110,100,-0.1
83,99,112,100,-0.1
87,103,116,100,-0.1
89,105,118,100,-0.1
99,116,126,100,-0.1
100,117,127,100,-0.1
100,117,127,100,-0.1
100,117,127,100,-0.1
97,114,124,100,-0.1
94,111,121,100,-0.1
91,108,118,100,-0.1
88,105,115,100,-0.1
87,104,114,100,-0.1
91,108,118,100,-0.1
95,112,122,100,-0.1
98,115,125,100,-0.1
97,114,124,100,-0.1
95,112,122,100,-0.1
94,111,121,100,-0.1
94,111,121,100,-0.1
89,106,116,100,-0.1
91,108,118,100,-0.1
91,108,118,100,-0.1
88,105,115,100,-0.1
84,101,111,100,-0.1
85,102,112,100,-0.1
92,109,119,100,-0.1
98,115,125,100,-0.1
101,118,128,100,-0.1
98,115,125,100,-0.1
96,113,123,100,-0.1
98,115,125,100,-0.1
101,118,128,100,-0.1
103,120,130,100,-0.1
102,119,129,100,-0.1
100,117,127,100,-0.1
105,122,132,100,-0.1
92,109,119,100,-0.1
78,95,105,100,-0.1
74,91,101,100,-0.1
81,98,108,100,-0.1
91,108,118,100,-0.1
98,115,125,100,-0.1
99,116,126,100,-0.1
108,125,135,100,-0.1
99,116,126,100,-0.1
93,110,120,100,-0.1
92,109,119,100,-0.1
92,109,119,100,-0.1
89,106,116,100,-0.1
86,103,113,100,-0.1
86,103,113,100,-0.1
91,108,118,100,-0.1
91,108,118,100,-0.1
90,107,117,100,-0.1
87,104,114,100,-0.1
81,98,108,100,-0.1
75,92,102,100,-0.1
70,87,97,100,-0.1
67,84,94,100,-0.1
58,75,85,100,-0.1
59,76,86,100,-0.1
62,79,89,100,-0.1
68,85,95,100,-0.1
74,91,101,100,-0.1
81,98,108,100,-0.1
88,105,115,100,-0.1
91,108,118,100,-0.1
99,116,126,100,-0.1
92,109,119,100,-0.1
84,101,111,100,-0.1
81,98,108,100,-0.1
84,101,111,100,-0.1
87,104,114,100,-0.1
89,106,116,100,-0.1
88,105,115,100,-0.1
84,101,111,100,-0.1
86,103,113,100,-0.1
90,107,117,100,-0.1
94,111,121,100,-0.1
96,113,123,100,-0.1
95,112,122,100,-0.1
91,108,118,100,-0.1
88,105,115,100,-0.1
82,99,109,100,-0.1
81,98,108,100,-0.1
79,96,106,100,-0.1
75,92,102,100,-0.1
74,91,101,100,-0.1
79,96,106,100,-0.1
88,105,115,100,-0.1
95,112,122,100,-0.1
91,108,118,100,-0.1
91,108,118,100,-0.1
92,109,119,100,-0.1
93,110,120,100,-0.1
93,110,120,100,-0.1
92,109,119,100,-0.1
92,109,119,100,-0.1
91,108,118,100,-0.1
90,107,117,100,-0.1
94,111,121,100,-0.1
91,108,118,100,-0.1
82,99,109,100,-0.1
83,100,110,100,-0.1
92,109,119,100,-0.1
92,109,119,100,-0.1
84,101,111,100,-0.1
79,96,106,100,-0.1
80,97,107,100,-0.1
82,99,109,100,-0.1
85,102,112,100,-0.1
89,106,116,100,-0.1
93,110,120,100,-0.1
97,114,124,100,-0.1
100,117,127,100,-0.1
86,103,113,100,-0.1
90,107,117,100,-0.1
95,112,122,100,-0.1
100,117,127,100,-0.1
105,122,132,100,-0.1
107,124,134,100,-0.1
108,125,135,100,-0.1
108,125,135,100,-0.1
98,115,125,100,-0.1
104,121,131,100,-0.1
104,121,131,100,-0.1
100,117,127,100,-0.1
98,115,125,100,-0.1
100,117,127,100,-0.1
96,113,123,100,-0.1
90,106,119,100,-0.1
76,92,107,100,-0.1
76,92,108,100,-0.1
76,92,108,100,-0.1
78,94,110,100,-0.1
80,96,112,100,-0.1
85,101,117,100,-0.1
89,105,121,100,-0.1
91,107,123,100,-0.1
96,112,128,100,-0.1
96,112,128,100,-0.1
94,110,126,100,-0.1
90,106,122,100,-0.1
87,103,119,100,-0.1
87,103,119,100,-0.1
89,105,121,100,-0.1
91,107,122,100,-0.1
91,107,122,100,-0.1
92,108,121,100,-0.1
93,109,122,100,-0.1
93,109,122,100,-0.1
92,108,121,100,-0.1
91,107,120,100,-0.1
91,107,120,100,-0.1
91,107,120,100,-0.1
78,94,107,100,-0.1
88,104,117,100,-0.1
97,113,126,100,-0.1
98,114,127,100,-0.1
93,109,122,100,-0.1
91,107,120,100,-0.1
97,113,126,100,-0.1
103,119,132,100,-0.1
93,109,122,100,-0.1
93,109,122,100,-0.1
93,109,122,100,-0.1
94,110,123,100,-0.1
95,111,124,100,-0.1
96,112,125,100,-0.1
96,112,125,100,-0.1
97,113,126,100,-0.1
91,107,120,100,-0.1
95,111,124,100,-0.1
100,116,129,100,-0.1
103,119,132,100,-0.1
100,116,129,100,-0.1
91,107,120,100,-0.1
82,98,111,100,-0.1
75,91,104,100,-0.1
78,95,105,100,-0.1
79,96,106,100,-0.1
81,98,108,100,-0.1
83,100,110,100,-0.1
84,101,111,100,-0.1
83,100,110,100,-0.1
81,98,108,100,-0.1
79,96,106,100,-0.1
77,94,104,100,-0.1
79,96,106,100,-0.1
82,99,109,100,-0.1
82,99,109,100,-0.1
83,100,110,100,-0.1
84,101,111,100,-0.1
86,103,113,100,-0.1
89,106,116,100,-0.1
86,103,113,100,-0.1
85,102,112,100,-0.1
84,101,111,100,-0.1
83,100,110,100,-0.1
83,100,110,100,-0.1
81,98,108,100,-0.1
79,96,106,100,-0.1
77,94,104,100,-0.1
68,85,95,100,-0.1
74,91,101,100,-0.1
79,96,106,100,-0.1
80,97,107,100,-0.1
82,99,109,100,-0.1
86,103,113,100,-0.1
86,103,113,100,-0.1
81,99,109,100,-0.1
88,106,118,100,-0.1
87,107,118,100,-0.1
