red,green,blue,cat,alpha
127,119,72,1,0.0025
128,120,73,1,0.0025
129,123,73,1,0.0025
133,127,75,1,0.0025
135,132,79,1,0.0025
138,137,81,1,0.0025
142,141,84,1,0.0025
143,144,86,1,0.0025
130,134,75,1,0.0025
132,138,78,1,0.0025
135,140,82,1,0.0025
136,144,85,1,0.0025
136,145,90,1,0.0025
135,144,89,1,0.0025
132,142,89,1,0.0025
130,141,83,1,0.0025
130,145,80,1,0.0025
129,144,75,1,0.0025
131,144,75,1,0.0025
130,143,74,1,0.0025
130,141,73,1,0.0025
129,140,72,1,0.0025
129,138,71,1,0.0025
129,138,71,1,0.0025
127,134,67,1,0.0025
132,139,72,1,0.0025
135,140,74,1,0.0025
134,139,73,1,0.0025
140,145,79,1,0.0025
150,155,89,1,0.0025
155,157,92,1,0.0025
152,153,93,1,0.0025
145,141,94,1,0.0025
143,139,94,1,0.0025
135,133,84,1,0.0025
126,125,71,1,0.0025
124,122,63,1,0.0025
130,126,63,1,0.0025
136,128,65,1,0.0025
140,126,63,1,0.0025
151,131,68,1,0.0025
166,136,76,1,0.0025
176,135,83,1,0.0025
182,130,83,1,0.0025
194,129,89,1,0.0025
207,133,98,1,0.0025
206,125,96,1,0.0025
195,111,83,1,0.0025
183,99,73,1,0.0025
182,101,72,1,0.0025
185,102,72,1,0.0025
186,103,69,1,0.0025
186,104,66,1,0.0025
183,104,61,1,0.0025
179,105,60,1,0.0025
174,106,57,1,0.0025
168,111,58,1,0.0025
162,115,59,1,0.0025
158,126,69,1,0.0025
162,142,83,1,0.0025
165,159,99,1,0.0025
164,168,109,1,0.0025
156,167,107,1,0.0025
150,161,101,1,0.0025
157,160,103,1,0.0025
156,155,98,1,0.0025
153,152,95,1,0.0025
155,154,97,1,0.0025
157,158,100,1,0.0025
153,154,96,1,0.0025
143,144,86,1,0.0025
134,135,77,1,0.0025
131,135,76,1,0.0025
133,137,78,1,0.0025
137,141,82,1,0.0025
142,146,87,1,0.0025
145,151,91,1,0.0025
148,154,94,1,0.0025
150,156,96,1,0.0025
152,156,97,1,0.0025
147,148,90,1,0.0025
148,149,91,1,0.0025
149,150,92,1,0.0025
148,154,94,1,0.0025
149,155,93,1,0.0025
147,156,93,1,0.0025
147,157,94,1,0.0025
147,157,94,1,0.0025
142,151,86,1,0.0025
141,150,85,1,0.0025
144,149,85,1,0.0025
150,152,89,1,0.0025
156,156,92,1,0.0025
160,159,95,1,0.0025
162,156,94,1,0.0025
166,151,92,1,0.0025
163,130,76,1,0.0025
166,126,74,1,0.0025
164,127,72,1,0.0025
163,132,75,1,0.0025
160,134,73,1,0.0025
154,136,72,1,0.0025
156,143,75,1,0.0025
158,151,81,1,0.0025
158,155,86,1,0.0025
156,157,89,1,0.0025
157,160,93,1,0.0025
155,160,96,1,0.0025
154,160,98,1,0.0025
156,161,103,1,0.0025
158,163,107,1,0.0025
161,166,112,1,0.0025
153,158,102,1,0.0025
155,160,104,1,0.0025
157,162,106,1,0.0025
159,164,108,1,0.0025
156,161,105,1,0.0025
148,153,97,1,0.0025
137,142,86,1,0.0025
129,134,78,1,0.0025
122,127,71,1,0.0025
121,126,70,1,0.0025
121,126,70,1,0.0025
127,132,76,1,0.0025
139,144,88,1,0.0025
150,155,99,1,0.0025
158,163,107,1,0.0025
161,166,108,1,0.0025
150,158,99,1,0.0025
151,159,99,1,0.0025
150,158,98,1,0.0025
144,152,92,1,0.0025
137,145,85,1,0.0025
134,142,82,1,0.0025
136,144,84,1,0.0025
141,149,89,1,0.0025
143,151,91,1,0.0025
147,155,95,1,0.0025
151,159,99,1,0.0025
151,159,99,1,0.0025
148,156,96,1,0.0025
146,154,94,1,0.0025
147,155,95,1,0.0025
150,155,97,1,0.0025
165,168,115,1,0.0025
166,166,114,1,0.0025
163,163,109,1,0.0025
160,161,103,1,0.0025
157,159,96,1,0.0025
158,161,94,1,0.0025
162,165,96,1,0.0025
166,169,98,1,0.0025
162,165,94,1,0.0025
154,157,88,1,0.0025
143,146,79,1,0.0025
139,141,78,1,0.0025
141,142,84,1,0.0025
148,148,94,1,0.0025
154,154,102,1,0.0025
157,157,105,1,0.0025
154,151,100,1,0.0025
148,148,94,1,0.0025
133,144,88,1,0.0025
123,132,77,1,0.0025
