cat,img,edge_score,contrast_score,brightness_score,saturation_score
100,0,20.233108520507812,19.460634276624415,75.98149108886719,24.612411499023438
100,100,42.39872741699219,33.37887638304082,91.39106750488281,81.72857666015625
100,101,42.55213928222656,33.56434014584104,91.741455078125,82.09980773925781
100,106,43.612274169921875,34.564806833972405,93.70733642578125,83.62913513183594
100,120,46.38706970214844,37.42911870759714,99.52156066894531,87.07821655273438
100,140,49.58172607421875,41.19995281687062,108.13412475585938,90.2110595703125
100,160,50.492034912109375,44.20173956406948,115.89425659179688,92.54704284667969
100,180,50.067138671875,46.485359007083346,122.60543823242188,93.3759765625
100,20,23.526138305664062,21.34201802051608,76.1488037109375,35.21519470214844
100,200,47.96044921875,48.030783029881356,127.89260864257812,92.37705993652344
100,40,27.536651611328125,23.545200696188818,77.31498718261719,52.95245361328125
100,60,32.25439453125,26.364519227823603,79.91603088378906,63.63032531738281
100,80,37.594451904296875,29.634980035452603,84.7359619140625,72.53602600097656
100,94,40.91157531738281,32.20264159881293,89.23110961914062,78.96427917480469
100,99,42.23323059082031,33.17986828601942,91.00343322753906,81.31510925292969
101,0,21.76690673828125,37.379835981784716,84.09341430664062,26.271408081054688
101,100,49.63421630859375,53.56898802775416,104.56391906738281,45.83406066894531
101,101,49.770233154296875,53.628518374469124,104.68319702148438,46.208648681640625
101,106,50.17176818847656,53.91034602686214,105.32478332519531,47.88597106933594
101,120,51.41728210449219,54.60031356872327,107.16224670410156,52.79597473144531
101,140,52.51817321777344,55.53853578806516,109.92933654785156,58.40406799316406
101,160,52.725982666015625,56.414153487634394,112.92413330078125,62.781036376953125
101,180,51.953155517578125,57.65120925689249,116.54450988769531,67.16661071777344
101,20,27.619338989257812,41.690361171715345,89.09259033203125,29.333206176757812
101,200,51.172393798828125,58.34965775411787,120.27183532714844,74.61773681640625
101,40,35.0479736328125,45.489451160080094,94.03593444824219,31.429763793945312
101,60,41.69691467285156,48.984484996056146,98.41180419921875,33.83697509765625
101,80,46.80195617675781,51.811126556032214,101.85812377929688,38.704345703125
101,94,48.81610107421875,53.139439949768295,103.81777954101562,43.63020324707031
101,99,49.54278564453125,53.497443291734754,104.42587280273438,45.42942810058594
104,0,15.925979614257812,16.269587697232293,119.35955810546875,52.42071533203125
104,100,40.0389404296875,27.72307992131028,132.97279357910156,123.72944641113281
104,101,40.05049133300781,27.853255063186296,133.0621337890625,124.34858703613281
104,106,40.61900329589844,28.53662426440729,133.474609375,127.16751098632812
104,120,42.09138488769531,30.604811890286832,134.72000122070312,135.60482788085938
104,140,43.51914978027344,33.41902065076318,136.69293212890625,148.0855255126953
104,160,46.33518981933594,36.12186257693871,138.83216857910156,161.27587890625
104,180,49.249603271484375,38.21342296621625,140.9706573486328,172.16940307617188
104,20,20.770172119140625,18.28998890493647,123.4869384765625,67.38055419921875
104,200,52.15864562988281,39.92307087134513,142.61785888671875,180.40921020507812
104,40,26.65423583984375,20.67012917858832,127.1531982421875,82.66539001464844
104,60,32.273193359375,22.921479016753395,129.8796844482422,97.55131530761719
104,80,37.14631652832031,25.21983412646743,131.62957763671875,111.27197265625
104,94,39.293609619140625,26.91816425223082,132.54898071289062,120.04132080078125
104,99,39.94903564453125,27.576401397765235,132.89117431640625,123.1981201171875
107,0,2.81396484375,27.99226917409773,70.26315307617188,66.20864868164062
107,100,4.0374298095703125,41.092954905891574,77.77897644042969,175.68231201171875
107,101,4.06158447265625,41.1209042378409,77.73255920410156,176.19528198242188
107,106,4.12353515625,41.31342442089587,77.49191284179688,178.95526123046875
107,120,4.3763427734375,41.484796804548445,76.49737548828125,187.78448486328125
107,140,4.6949462890625,41.263916916243105,74.39059448242188,198.2353973388672
107,160,5.0547027587890625,40.40334341532171,71.72511291503906,206.03070068359375
107,180,5.4637603759765625,38.72193319548093,69.11293029785156,212.370361328125
107,20,3.00360107421875,31.69109838354223,73.49472045898438,86.67723083496094
107,200,5.7446746826171875,36.30659150999559,66.9742431640625,217.91775512695312
107,40,3.1068572998046875,35.21982404892571,75.55766296386719,120.32441711425781
107,60,3.3492584228515625,37.60237539743623,77.31721496582031,146.17959594726562
107,80,3.6625518798828125,39.623948095112524,78.2703857421875,163.6368408203125
107,94,3.9519805908203125,40.73605240245083,78.03448486328125,172.1825408935547
107,99,4.009246826171875,41.01594190685992,77.82868957519531,175.1755828857422
108,0,23.607833862304688,30.452438800107352,121.16554260253906,43.249114990234375
108,100,36.80021667480469,36.519603668019165,121.49766540527344,69.910888671875
108,101,37.06282043457031,36.56338393314775,121.47297668457031,70.23686218261719
108,106,37.79734802246094,36.70590788288673,121.32637023925781,71.78507995605469
108,120,39.80328369140625,36.95728056831003,120.73777770996094,76.51235961914062
108,140,41.90620422363281,37.166975361915746,119.41618347167969,83.42216491699219
108,160,43.094818115234375,37.77202716913307,117.64566040039062,89.24896240234375
108,180,43.0035400390625,38.84034198930145,115.42770385742188,94.62258911132812
108,20,25.701263427734375,32.02185651246134,121.54450988769531,47.14509582519531
108,200,43.04869079589844,40.01692380494262,113.24148559570312,99.166015625
108,40,28.1163330078125,33.55252400024463,121.71864318847656,52.075408935546875
108,60,30.823074340820312,34.81655971554895,121.83744812011719,57.37086486816406
108,80,33.82743835449219,35.759027448445,121.78677368164062,63.508544921875
108,94,35.935791015625,36.34098758462451,121.60702514648438,67.81924438476562
108,99,36.68998718261719,36.50251686708266,121.53089904785156,69.55374145507812
111,0,1.4362335205078125,6.351702233378059,32.650665283203125,10.330856323242188
111,100,3.51922607421875,15.003128654803108,25.078628540039062,116.78680419921875
111,101,3.4820709228515625,15.092366381405371,25.001663208007812,117.77574157714844
111,106,3.4053192138671875,15.52453466412084,24.584823608398438,123.9661865234375
111,120,3.27032470703125,16.638539023433747,23.589202880859375,146.7622528076172
111,140,3.211029052734375,18.256134899749902,22.449905395507812,167.85772705078125
111,160,3.2176971435546875,19.92871347966554,21.74407958984375,193.3663330078125
111,180,3.282745361328125,21.62288730939074,21.4014892578125,206.1007843017578
111,20,1.6442718505859375,8.101077012576683,31.55291748046875,17.53985595703125
111,200,3.444854736328125,23.439311233386768,21.400741577148438,222.94850158691406
111,40,1.9600677490234375,9.737943067779664,29.738845825195312,33.53788757324219
111,60,2.8008270263671875,11.66151159042659,28.084548950195312,63.8641357421875
111,80,3.384063720703125,13.34749636715333,26.675247192382812,88.81025695800781
111,94,3.53900146484375,14.511065747315696,25.54437255859375,110.4951171875
111,99,3.5028228759765625,14.94539663197635,25.150894165039062,116.03379821777344
112,0,4.974822998046875,17.850256565331122,92.333740234375,67.52169799804688
112,100,16.4649658203125,33.54996016565872,143.77670288085938,240.53921508789062
112,101,16.250717163085938,33.578961637537404,144.289794921875,241.1416015625
112,106,14.971786499023438,33.80950010722168,146.91070556640625,243.2542266845703
112,120,11.949111938476562,34.312458197084084,153.48252868652344,246.93246459960938
112,140,10.687210083007812,36.606725704341855,161.41993713378906,248.5885772705078
112,160,10.743148803710938,42.42911730845696,164.51873779296875,247.93190002441406
112,180,11.530197143554688,48.604489072916195,161.65557861328125,247.27471923828125
112,20,7.0523223876953125,21.78646165762552,99.73324584960938,101.44970703125
112,200,13.478912353515625,54.76537892516374,159.5865020751953,244.7342529296875
112,40,11.080535888671875,26.337108620920564,108.81718444824219,145.81736755371094
112,60,17.101394653320312,30.522269698177645,119.64595031738281,191.5632781982422
112,80,19.85052490234375,32.84577391241636,132.28787231445312,223.3966064453125
112,94,17.930618286132812,33.32937050005563,140.4495086669922,236.7554473876953
112,99,16.817581176757812,33.52033721456716,143.22897338867188,239.97525024414062
113,0,16.118392944335938,27.53945770429459,71.89299011230469,54.503936767578125
113,100,23.202529907226562,47.099975846230926,80.05979919433594,87.74470520019531
113,101,23.18365478515625,47.357207087239615,80.49612426757812,87.99456787109375
113,106,23.1885986328125,48.61397939427977,82.75025939941406,88.84815979003906
113,120,22.854156494140625,51.77786563655378,88.53770446777344,93.65080261230469
113,140,22.6092529296875,55.45448616450485,96.67100524902344,103.89248657226562
113,160,22.301376342773438,57.56149405004141,104.81901550292969,114.07563781738281
113,180,22.569046020507812,58.66102000982783,112.55790710449219,120.99760437011719
113,20,17.953704833984375,29.425574662123836,68.727294921875,63.72453308105469
113,200,23.4632568359375,60.007058545969464,119.74896240234375,128.12266540527344
113,40,19.863235473632812,32.45612055411843,66.9796142578125,70.0130615234375
113,60,21.72869873046875,36.37306152495329,67.51988220214844,75.22647094726562
113,80,22.939926147460938,41.42459458297606,72.01922607421875,82.2669677734375
113,94,23.207763671875,45.452241669490625,77.43891906738281,86.60391235351562
113,99,23.255020141601562,46.82352524150319,79.62446594238281,87.47215270996094
118,0,5.6102142333984375,34.88835089350875,95.75102233886719,38.70683288574219
118,100,15.487518310546875,49.620106482232025,113.8583984375,131.22923278808594
118,101,15.669235229492188,49.75203646496677,114.06179809570312,132.20654296875
118,106,16.741180419921875,50.466252637114906,115.15127563476562,137.3666534423828
118,120,19.381271362304688,52.26343557963771,118.243896484375,150.5070343017578
118,140,23.003982543945312,54.938239620376535,123.43724060058594,164.14198303222656
118,160,25.7303466796875,57.30696153859469,128.0656280517578,173.5641326904297
118,180,28.148223876953125,57.71343886533973,131.6205596923828,180.0974578857422
