"cat","img","edge_score","contrast_score","brightness_score","saturation_score","visual_complexity","symmetry","colorfulness"
100,0,20.2331085205078,19.4606342766244,75.9814910888672,24.6124114990234,503,62.5498007968127,5.04125108300312
100,100,42.3987274169922,33.3788763830408,91.3910675048828,81.7285766601562,1005,97.910447761194,25.5355870951469
100,101,42.5521392822266,33.564340145841,91.741455078125,82.0998077392578,1006,97.609561752988,25.8208384877538
100,106,43.6122741699219,34.5648068339724,93.7073364257812,83.6291351318359,1007,97.8131212723658,27.202725186684
100,120,46.3870697021484,37.4291187075971,99.5215606689453,87.0782165527344,1004,97.4051896207585,31.3120446220427
100,140,49.5817260742188,41.1999528168706,108.134124755859,90.2110595703125,1007,97.1201588877855,36.697211393336
100,160,50.4920349121094,44.2017395640695,115.894256591797,92.5470428466797,1011,97.3293768545994,41.7387868209169
100,180,50.067138671875,46.4853590070833,122.605438232422,93.3759765625,1013,97.137216189536,45.4633594722839
100,20,23.5261383056641,21.3420180205161,76.1488037109375,35.2151947021484,783,64.6310432569975,7.2933947663553
100,200,47.96044921875,48.0307830298814,127.892608642578,92.3770599365234,1013,96.8379446640316,47.6095991137417
100,40,27.5366516113281,23.5452006961888,77.3149871826172,52.9524536132812,913,77.4617067833698,11.275777956582
100,60,32.25439453125,26.3645192278236,79.9160308837891,63.6303253173828,983,90.8536585365854,14.7089334976406
100,80,37.5944519042969,29.6349800354526,84.7359619140625,72.5360260009766,1002,96.0079840319361,19.0920694056076
100,94,40.9115753173828,32.2026415988129,89.2311096191406,78.9642791748047,1005,97.308075772682,23.1402359242904
100,99,42.2332305908203,33.1798682860194,91.0034332275391,81.3151092529297,1006,97.609561752988,25.2342664467314
101,0,21.7669067382812,37.3798359817847,84.0934143066406,26.2714080810547,875,78.1714285714286,16.0477013290342
101,100,49.6342163085938,53.5689880277542,104.563919067383,45.8340606689453,921,83.6047774158523,26.9000159940938
101,101,49.7702331542969,53.6285183744691,104.683197021484,46.2086486816406,920,83.5690968443961,27.1126794600106
101,106,50.1717681884766,53.9103460268621,105.324783325195,47.8859710693359,925,85.3448275862069,28.2960115599709
101,120,51.4172821044922,54.6003135687233,107.162246704102,52.7959747314453,938,87.6332622601279,31.3921250826392
101,140,52.5181732177734,55.5385357880652,109.929336547852,58.4040679931641,945,85.8050847457627,35.2650163445585
101,160,52.7259826660156,56.4141534876344,112.924133300781,62.7810363769531,945,85.1694915254237,38.8507315960385
101,180,51.9531555175781,57.6512092568925,116.544509887695,67.1666107177734,946,87.0116156282999,42.5117098534964
101,20,27.6193389892578,41.6903611717153,89.0925903320312,29.3332061767578,880,78.2707622298066,18.0826155576919
101,200,51.1723937988281,58.3496577541179,120.271835327148,74.6177368164062,950,86.8835257082896,46.1154363310876
101,40,35.0479736328125,45.4894511600801,94.0359344482422,31.4297637939453,892,80.0448430493274,19.502988915957
101,60,41.6969146728516,48.9844849960561,98.4118041992188,33.8369750976562,901,81.2430632630411,20.5904978867187
101,80,46.8019561767578,51.8111265560322,101.858123779297,38.704345703125,919,83.1338411316649,22.9673835280552
101,94,48.8161010742188,53.1394399497683,103.817779541016,43.6302032470703,920,83.2608695652174,25.646438771639
101,99,49.5427856445312,53.4974432917348,104.425872802734,45.4294281005859,922,83.2608695652174,26.6909951775709
104,0,15.9259796142578,16.2695876972323,119.359558105469,52.4207153320312,536,43.8202247191011,18.8284995345037
104,100,40.0389404296875,27.7230799213103,132.972793579102,123.729446411133,885,83.9366515837104,46.1281299676761
104,101,40.0504913330078,27.8532550631863,133.062133789062,124.348587036133,883,83.1257078142695,46.3550205792641
104,106,40.6190032958984,28.5366242644073,133.474609375,127.167510986328,883,83.2199546485261,47.287776278708
104,120,42.0913848876953,30.6048118902868,134.720001220703,135.604827880859,872,79.8165137614679,50.1700618213349
104,140,43.5191497802734,33.4190206507632,136.692932128906,148.085525512695,859,77.8554778554778,53.8683799584113
104,160,46.3351898193359,36.1218625769387,138.832168579102,161.27587890625,881,81.859410430839,57.4446835447999
104,180,49.2496032714844,38.2134229662162,140.970657348633,172.169403076172,896,83.8709677419355,61.4420346478859
104,20,20.7701721191406,18.2899889049365,123.486938476562,67.3805541992188,691,60.2305475504323,24.5086917504185
104,200,52.1586456298828,39.9230708713451,142.617858886719,180.409210205078,924,87.2294372294372,65.2759597380159
104,40,26.6542358398438,20.6701291785883,127.153198242188,82.6653900146484,781,71.042471042471,30.6873504473063
104,60,32.273193359375,22.9214790167534,129.879684448242,97.5513153076172,843,76.6310794780546,36.627632505015
104,80,37.1463165283203,25.2198341264674,131.629577636719,111.27197265625,884,83.8052095130238,41.8503999810532
104,94,39.2936096191406,26.9181642522308,132.548980712891,120.041320800781,886,84.4594594594595,44.9163765182299
104,99,39.9490356445312,27.5764013977652,132.891174316406,123.198120117188,888,84.554678692221,45.9288338926813
107,0,2.81396484375,27.9922691740977,70.2631530761719,66.2086486816406,191,25.130890052356,30.604385759777
107,100,4.03742980957031,41.0929549058916,77.7789764404297,175.682312011719,326,29.2834890965732,106.100307163298
107,101,4.06158447265625,41.1209042378409,77.7325592041016,176.195281982422,330,31.4814814814815,107.003944273363
107,106,4.12353515625,41.3134244208959,77.4919128417969,178.955261230469,332,32.6283987915408,111.951511614621
107,120,4.3763427734375,41.4847968045484,76.4973754882812,187.784484863281,358,39.6648044692737,124.448768540892
107,140,4.6949462890625,41.2639169162431,74.3905944824219,198.235397338867,373,40.2144772117962,134.943873249969
107,160,5.05470275878906,40.4033434153217,71.7251129150391,206.030700683594,386,43.1168831168831,137.878871070445
107,180,5.46376037597656,38.7219331954809,69.1129302978516,212.370361328125,402,44.5,137.506970067923
107,20,3.00360107421875,31.6910983835422,73.4947204589844,86.6772308349609,231,22.5108225108225,35.4918879959093
107,200,5.74467468261719,36.3065915099956,66.9742431640625,217.917755126953,380,51.9685039370079,135.553569696174
107,40,3.10685729980469,35.2198240489257,75.5576629638672,120.324417114258,247,29.0322580645161,46.8394815269474
107,60,3.34925842285156,37.6023753974362,77.3172149658203,146.179595947266,265,25,64.81899537597
107,80,3.66255187988281,39.6239480951125,78.2703857421875,163.636840820312,299,28,85.9386039596964
107,94,3.95198059082031,40.7360524024508,78.0344848632812,172.182540893555,309,29.7734627831715,99.9171126184556
107,99,4.00924682617188,41.0159419068599,77.8286895751953,175.175582885742,326,28.0373831775701,105.031555773292
108,0,23.6078338623047,30.4524388001074,121.165542602539,43.2491149902344,922,84.5070422535211,15.3390748105789
108,100,36.8002166748047,36.5196036680192,121.497665405273,69.910888671875,1010,96.2376237623762,22.2318132251009
