cat,img,brightness,visual_complexity,symmetry,colorfulness
100,0,0.08012961959818159,503,62.54980079681275,5.041251083003123
100,100,0.1409722360087377,1005,97.91044776119404,25.535587095146937
100,101,0.14238542957447553,1006,97.60956175298804,25.82083848775376
100,106,0.14991368304845532,1007,97.8131212723658,27.202725186684024
100,120,0.17313447766473306,1004,97.40518962075848,31.312044622042656
100,140,0.20973386065428717,1007,97.12015888778551,36.69721139333598
100,160,0.2457711220214374,1011,97.3293768545994,41.73878682091685
100,180,0.27825317137624206,1013,97.13721618953603,45.463359472283926
100,20,0.0830436900077892,783,64.63104325699746,7.293394766355297
100,200,0.3041385496519095,1013,96.83794466403161,47.60959911374171
100,40,0.08975230861584671,913,77.4617067833698,11.275777956582049
100,60,0.09954296043110317,983,90.85365853658537,14.708933497640569
100,80,0.11602010796427759,1002,96.00798403193613,19.092069405607646
100,94,0.1322946008736784,1005,97.30807577268196,23.140235924290437
100,99,0.13949295129884026,1006,97.60956175298804,25.234266446731354
101,0,0.1141069300743778,875,78.17142857142856,16.047701329034247
101,100,0.19529124409808363,921,83.60477741585234,26.900015994093756
101,101,0.19587377714255744,920,83.56909684439609,27.112679460010575
101,106,0.19890953081862325,925,85.34482758620689,28.296011559970943
101,120,0.20732851291637733,938,87.63326226012794,31.392125082639225
101,140,0.21922728170466468,945,85.80508474576271,35.26501634455852
101,160,0.23048783896213337,945,85.16949152542372,38.850731596038486
101,180,0.24354733637733578,946,87.0116156282999,42.51170985349642
101,20,0.13191523313957992,880,78.2707622298066,18.082615557691852
101,200,0.25526304945606665,950,86.88352570828961,46.11543633108761
101,40,0.14998443468148512,892,80.04484304932735,19.502988915957047
101,60,0.16727464116327923,901,81.24306326304107,20.59049788671871
101,80,0.1824468488190842,919,83.13384113166485,22.96738352805519
101,94,0.1917052772897638,920,83.26086956521739,25.646438771638962
101,99,0.19468435458386782,922,83.26086956521739,26.69099517757091
104,0,0.19540901466828522,536,43.82022471910113,18.828499534503667
104,100,0.26300041042874267,885,83.93665158371041,46.1281299676761
104,101,0.2635856951815298,883,83.12570781426953,46.35502057926409
104,106,0.26625997405791685,883,83.21995464852607,47.287776278708
104,120,0.2748581087889101,872,79.81651376146789,50.170061821334926
104,140,0.28780798464050034,859,77.85547785547784,53.86837995841127
104,160,0.3019547519178025,881,81.85941043083899,57.44468354479988
104,180,0.3161588931192106,896,83.87096774193549,61.442034647885905
104,20,0.212484369536024,691,60.23054755043228,24.50869175041846
104,200,0.32907756401097155,924,87.22943722943724,65.27595973801587
104,40,0.2292135015089139,781,71.04247104247105,30.68735044730631
104,60,0.2428241378519307,843,76.63107947805456,36.62763250501503
104,80,0.2533934916384656,884,83.80520951302378,41.85039998105322
104,94,0.2599642509417213,886,84.45945945945947,44.9163765182299
104,99,0.262428744332382,888,84.55467869222097,45.92883389268131
107,0,0.0684339856960145,191,25.13089005235602,30.60438575977701
107,100,0.14549628053107005,326,29.283489096573206,106.10030716329841
107,101,0.14671279413975935,330,31.48148148148148,107.00394427336326
107,106,0.15353923970168631,332,32.62839879154079,111.95151161462131
107,120,0.17421072773811383,358,39.66480446927375,124.44876854089165
107,140,0.1993445970975835,373,40.21447721179624,134.94387324996873
107,160,0.21473357515949534,386,43.116883116883116,137.87887107044526
107,180,0.22201827495498763,402,44.5,137.50697006792345
107,20,0.07860540225934619,231,22.51082251082251,35.49188799590926
107,200,0.22397586070092243,380,51.96850393700787,135.55356969617375
107,40,0.09009718711252722,247,29.03225806451613,46.83948152694739
107,60,0.10471750789980006,265,25.0,64.81899537596996
107,80,0.12347098078098033,299,28.000000000000004,85.93860395969638
107,94,0.13814606435971535,309,29.773462783171524,99.91711261845555
107,99,0.1441108832828868,326,28.037383177570092,105.03155577329196
108,0,0.2036999559579621,922,84.50704225352112,15.339074810578936
108,100,0.20536054333679732,1010,96.23762376237623,22.231813225100908
108,101,0.205258407300124,1010,96.23762376237623,22.306585321086807
108,106,0.20462539579063055,1011,96.23762376237623,22.77697004171474
108,120,0.20222137767330628,1012,97.23320158102767,24.21437029003462
108,140,0.19721848772636172,1014,97.43589743589743,26.375435370467155
108,160,0.19178852464698734,1018,98.23182711198429,28.56416771617907
108,180,0.18566872910068802,1016,98.03149606299213,30.31556934169476
108,20,0.20553635517922306,950,87.13080168776372,16.151653687783888
108,200,0.18008895366676833,1017,98.32841691248771,31.49317108781034
108,40,0.2065953924437104,989,92.61880687563195,17.23829972212972
108,60,0.20700791626024473,1003,94.91525423728814,18.85555585154291
108,80,0.2066130867910073,1006,95.12437810945273,20.53918198564191
108,94,0.20588602481747464,1010,96.23762376237623,21.781579780601867
108,99,0.2055218821487029,1009,96.23762376237623,22.11234960641258
111,0,0.015953303739263444,1,100.0,8.064600924988804
111,100,0.017283111178660108,159,0.0,27.11907707802405
111,101,0.01731131361110749,162,0.0,27.269741801708264
111,106,0.01746881845051846,161,0.0,28.169532302666628
111,120,0.018044384516607306,165,0.0,30.436490089192414
111,140,0.019077599728627524,169,0.0,33.709722844007004
111,160,0.020730450921355042,168,0.0,37.20170910332854
111,180,0.022788969768913758,171,0.0,40.874223439689025
111,20,0.015992452857986336,1,100.0,12.787755403786974
111,200,0.025675944213990057,172,0.0,44.86513159671561
111,40,0.01582063054985397,1,0.0,16.457922526079347
111,60,0.016062631319917458,142,0.0,20.468640409477906
111,80,0.016753488641446716,155,0.0,23.968925948133087
111,94,0.017126029022513416,159,0.0,26.136015226087714
111,99,0.017284218590989917,160,0.0,27.02883403343919
112,0,0.10374641453633715,150,1.342281879194631,10.931379127107393
112,100,0.23356623353206654,582,35.39518900343643,93.9507837657234
112,101,0.2355394174318505,578,36.741767764298096,94.75319754078456
112,106,0.2456874800073871,573,36.58536585365854,98.35025494249808
112,120,0.2740610075492697,594,41.62436548223351,106.69587628860398
112,140,0.3187308749810072,686,52.26277372262774,117.67720268036598
112,160,0.3514899070667729,825,65.53398058252428,132.37235915930933
